name_7030#0,"""쿠이카"""
msn_023022_0010#0,"""やあ、来てくれたんだね。"""
msn_023022_0020#0,"""私は쿠이카。<br>趣味で、ハルファの謎を調べてるの。"""
msn_023022_0030#0,"""まー、ルシエランが来てから、<br>だいたいのことは、“解明”されちゃったんだけどね……。"""
msn_023022_0040#0,"""でも、まだわからないことはある！<br>って思ってんだ。"""
msn_023022_0050#0,"""そこで、“ガーディアン”のキミに、<br>手伝ってもらおうってわけ。"""
msn_023022_0060#0,"""今、気になってるのは、<br>西리템のサガーン山道。"""
msn_023022_0070#0,"""詳しくは、現地についたら説明するよ。"""
msn_023022_0080#0,"""それじゃ、<br>よろしくねー。"""
msn_023022_0110#0,"""まずは、サガーン山道に向かってもらえるかな？<br>詳しくは、現地についたら説明するよ。"""
msn_023022_0120#0,"""それじゃ、<br>よろしくねー。"""
msn_023022_0210#0,"""もうひとつ謎があるの！<br>次は、ミストラ樹林に行ってほしいの！"""
msn_023022_0220#0,"""よろしくねー。"""
