msc_023030_0010#0,"""<%me>구나."""
msc_023030_0020#0,"""마침 잘 와줬어."""
msc_023030_0030#0,"""요즘 아이나 말인데,<br>뭔가 신경 쓰이는 일은 없어?"""
msc_023030_0040#0,"""평소와 같아."""
msc_023030_0050#0,"""조금 기운이 없어 보여."""
msc_023030_0060#0,"""…그렇구나.<br>그럼 다행이고."""
msc_023030_0070#0,"""역시, 아직 망설임이 있는 걸까…."""
msc_023030_0080#0,"""들었을지 모르겠지만,<br>아이나에게 신설된 훈련 부대의 교관 역할을 부탁했어."""
msc_023030_0090#0,"""가르치는 쪽에 서는 것은 이번에 처음이야."""
msc_023030_0100#0,"""불안함과 망설임이 적지는 않겠지."""
msc_023030_0110#0,"""당분간은 나도 훈련을 참관할 생각이지만…."""
msc_023030_0120#0,"""브루더가 함께라면 든든할 것 같아."""
msc_023030_0130#0,"""아이나를 부탁해."""
msc_023030_0140#0,"""응. 최대한 서포트 할 생각이야."""
msc_023030_0150#0,"""그래.<br>맡겨둬."""
msc_023030_0160#0,"""스타레스에 대한 위협 때문에,<br>요즘 전투단 지원자가 많아지고 있어."""
msc_023030_0170#0,"""상대적으로 교관 역할이 부족해."""
msc_023030_0180#0,"""그래서 아이나가 합류하게 된 건,<br>정말 감사하고 있어."""
msc_023030_0190#0,"""아이나는 사람을 끌어당기는 힘이 있어."""
msc_023030_0200#0,"""많은 전투를 겪으며, 경험도 쌓았고."""
msc_023030_0210#0,"""지금의 아이나는 리더로서도 적임자겠지."""
msc_023030_0220#0,"""처음엔 무기를 다루는 것도 서툴렀던 아이나가,<br>이만큼 성장한 건 솔직히 놀라워."""
msc_023030_0230#0,"""그 경험을,<br>후배에게도 전해주었으면 좋겠어."""
msc_023030_0240#0,"""어쨌든 우선 실천해 보는 게 우선이겠지."""
msc_023030_0250#0,"""네 쪽에서,<br>뭔가 느낀 점이 있으면 알려줘."""
