msc_022040_0010#0,"""어라, 여긴 어쩐 일로?"""
msc_022040_0020#0,"""혹시, 마논을 만나러 오셨나요?"""
msc_022040_0030#0,"""그렇다면, 마논은 여기에 없습니다.<br>다른 곳에서 조사를 하고 있답니다."""
msc_022040_0040#0,"""마논은 잘 지내고 있어?"""
msc_022040_0050#0,"""조사단원들과의 관계는 어때?"""
msc_022040_0060#0,"""네.<br>잘 지내고 있는 것 같습니다."""
msc_022040_0070#0,"""아마 문제없을 거라고 생각합니다."""
msc_022040_0080#0,"""마논에게 의심의 눈초리를 보냈던 사람들도,<br>재평가하기 시작했답니다."""
msc_022040_0090#0,"""마논의 기여가,<br>그들의 의식을 바꾸고 있는 것 같습니다."""
msc_022040_0100#0,"""다만, 본인은<br>대원들 사이에서 거리감을 느끼고 있는 것 같아요."""
msc_022040_0110#0,"""그것도 조사가 진행되면서,<br>자연스럽게 나아질 거라고 생각합니다만…"""
msc_022040_0120#0,"""그런데…."""
msc_022040_0130#0,"""당신은 그녀가 가진 신비한 힘에 대해서,<br>뭔가 알고 계신 게 있나요?"""
msc_022040_0140#0,"""신비한 힘?"""
msc_022040_0150#0,"""무슨 말이야?"""
msc_022040_0160#0,"""네.<br>모르고 계신…가요?"""
msc_022040_0170#0,"""역시, 모르시는 모양이네요."""
msc_022040_0180#0,"""닐스 스티아와의 싸움에서<br>그녀가 보여준 힘을 말한 거예요."""
msc_022040_0190#0,"""기억 나셨나요?"""
msc_022040_0200#0,"""…그 강력한 힘은 무엇일까요?"""
msc_022040_0210#0,"""모르겠어."""
msc_022040_0220#0,"""신비한 힘…이라고 밖에."""
msc_022040_0230#0,"""그렇…겠죠."""
msc_022040_0240#0,"""최근 마논은 조사 중에,<br>그 힘을 자주 사용하는 것 같아요."""
msc_022040_0250#0,"""조사단이나 주변 사람들을 돕기 위해서."""
msc_022040_0260#0,"""덕분에 희생 없이 조사가 진행되고 있지만,<br>어딘지 모르게 위태로움을 느끼고 있답니다…."""
msc_022040_0270#0,"""예전에 그렌 대장도,<br>항상 정면에 서서 적을 베어버곤 했습니다."""
msc_022040_0280#0,"""히바나를 잃은 마음의 공백을 채우기 위해…."""
msc_022040_0290#0,"""그때 그 느낌을,<br>지금 그녀에게서 느끼고 있습니다."""
msc_022040_0300#0,"""…당신이라면,<br>이야기 할 수 있을 것 같아요."""
msc_022040_0310#0,"""적당한 때에,<br>넌지시 물어봐 주세요."""
msc_022040_0320#0,"""잘 부탁드려요."""
