msc_022060_0010#0,"""어라, 너구나."""
msc_022060_0020#0,"""오늘은 혼자야?"""
msc_022060_0030#0,"""그… 마논에 대한 이야기인데…."""
msc_022060_0040#0,"""리서전트 아크스…<br>이였나."""
msc_022060_0050#0,"""솔직히 놀랐어."""
msc_022060_0060#0,"""마논에게 실망했어?"""
msc_022060_0070#0,"""마논은 나쁘지 않아."""
msc_022060_0080#0,"""그럴 리가,<br>그럴 리가 없지."""
msc_022060_0090#0,"""응, 알고 있어."""
msc_022060_0100#0,"""마논은 우리를<br>정말 소중히 여기고 있었어."""
msc_022060_0110#0,"""그 점은 잘 알고 있어."""
msc_022060_0120#0,"""그러니까 마논의 정체가 무엇이든 간에,<br>내 마음은 쉽게 변하지 않을 거야."""
msc_022060_0130#0,"""…그래서 요즘 그 마논에 대한 소문을 자주 듣고 있어."""
msc_022060_0140#0,"""소문?"""
msc_022060_0150#0,"""뭔가 안좋은 소문이…?"""
msc_022060_0160#0,"""응."""
msc_022060_0170#0,"""아니, 그 반대야."""
msc_022060_0180#0,"""마논이 엄청난 힘을 써서,<br>여러 곳에서 활약하고 있다고."""
msc_022060_0190#0,"""크바리스 캠프에서도,<br>그 힘으로 도움을 받은 사람이 있는 모양이야."""
msc_022060_0200#0,"""다들 마논에게 고마워하고 있었어."""
msc_022060_0210#0,"""그렇게 조금씩이라도,<br>마논을 이해하는 사람이 늘어났으면 좋겠어."""
msc_022060_0220#0,"""어떤 힘인지는 모르겠지만."""
msc_022060_0230#0,"""분명 다들 이해해 줄 거야."""
msc_022060_0240#0,"""힘들 거라고 생각이 들지만…."""
msc_022060_0250#0,"""응, 그렇네."""
msc_022060_0260#0,"""우리도 마논을 위해,<br>할 수 있는 한 최선을 다할게."""
msc_022060_0270#0,"""무슨 일이 있으면,<br>주저하지 않고 말해줬으면 해."""
