name_7030#0,"""쿠이카"""
name_7032#0,"""파페"""
msn_023026_0010#0,"""당신은 \""가디언\""인가요?<br>무슨 일이신가요?"""
msn_023026_0020#0,"""…이 결정체를 조사하고 계신가요?"""
msn_023026_0030#0,"""이것은 돌즈의 주요 신체 조직인<br>포톤졸이 결정화된 것입니다."""
msn_023026_0040#0,"""할파에서 활동을 멈춘 생명체는,<br>나노머신에 의해 분해됩니다."""
msn_023026_0050#0,"""하지만, 외부 요인에 의해<br>나노머신이 정상적으로 작동하지 않을 수 있습니다."""
msn_023026_0060#0,"""정상적으로 분해 처리되지 못한 돌즈의 조직 일부가,<br>축적된 것 중 하나가 바로 이 결정체입니다."""
msn_023026_0070#0,"""포톤졸은,<br>돌즈가 클록 업하면 붉은색으로 변색됩니다."""
msn_023026_0080#0,"""이 결정체도 대기 중의 포톤 농도 상성에 반응하여<br>붉은색으로 변하는 것으로 생각됩니다."""
msn_023026_0090#0,"""…포톤졸? …나노머신?<br>…클록 업?"""
msn_023026_0100#0,"""또 새로운 단어가 등장했어…."""
msn_023026_0110#0,"""다음에는 거기 있는 루시에란에게<br>더 자세하게 알려줘."""
msn_023026_0120#0,"""아, 그럼 내친김에.<br>하늘에 보이는 저 거대한 별이 뭔지 알고 있어?"""
msn_023026_0130#0,"""…별?"""
msn_023026_0140#0,"""언제 보더라도 같은 곳에 있는<br>거대한 별 있잖아?"""
msn_023026_0150#0,"""거기는,<br>어떤 곳인지 궁금해서."""
msn_023026_0160#0,"""할파 외부에 대해서는,<br>저희도 알지 못합니다."""
msn_023026_0170#0,"""그렇구나.<br>루시에란에게도 모르는 것이 있구나…."""
msn_023026_0180#0,"""그럼, 아직 할파 내부에도<br>조사 대상이 있을지도 모른다는 거네."""
msn_023026_0190#0,"""저 별 말고도,<br>뭐 없나 찾아보자."""
msn_023026_0200#0,"""고마워! 가디언.<br>또 무슨 일이 생기면 도와줄 거지?"""
msn_023026_0210#0,"""으음…."""
msn_023026_0220#0,"""…이외에도 더 필요한 게 있으신가요?"""
