name_7030#0,"""쿠이카"""
name_7031#0,"""기니"""
msn_023024_0010#0,"""수고하십니다.<br>당신은 \""가디언\""이로군요."""
msn_023024_0020#0,"""무슨 일로 오셨죠?"""
msn_023024_0030#0,"""…이 바위에 대해 조사하고 있다고요?"""
msn_023024_0040#0,"""이 아래에 고리 모양의 구조물이 보이시나요?<br>저건 디그레브라고 합니다. 반중력 제어 고속 수송 시스템입니다."""
msn_023024_0050#0,"""에아리오와 리템을 연결하는 교통망의 일부였지만,<br>첫 번째 다크 펄스 실험 당시 파괴되었습니다."""
msn_023024_0060#0,"""그 영향으로,<br>이 주변에서는 중력 이상 현상이 일어나고 있습니다."""
msn_023024_0070#0,"""지금 그 수정 방법을 검토하고 있습니다."""
msn_023024_0080#0,"""…반중력 제어?<br>…고속 수송 시스템?"""
msn_023024_0090#0,"""잘 모르겠지만,<br>나중에 루시에란에게 물어보면 될 것 같은데?"""
msn_023024_0100#0,"""…뭔가,<br>쉽게 해결하게 됐네."""
msn_023024_0110#0,"""으음, 또 하나의 수수께끼가 있어!<br>다음은 미스트라 수림으로 가자!"""
msn_023024_0210#0,"""…네?"""
msn_023024_0220#0,"""아직 볼일이 있으신가요?"""
