name_7013#0,"""이루마"""
msn_022062_0010#0,"""아아, 응.<br>거기서도 충분해."""
msn_022062_0020#0,"""루시에란에게 물어보니,<br>데이터 누락이 있었던 것 같아서."""
msn_022062_0030#0,"""꽤 많이 조사했을 건데,<br>전부 찾지는 못했나 봐."""
msn_022062_0040#0,"""나도 아직 멀었네…."""
msn_022062_0050#0,"""잠깐만.<br>네 마그를 경유해서 데이터를…."""
msn_022062_0060#0,"""정말이네. 여기서 블록 당했구나.<br>이건 구조를 모르면 놓치겠네…."""
msn_022062_0070#0,"""…좋아, 회수 완료!"""
msn_022062_0080#0,"""이번 데이터를 조합해서,<br>여러 가지 조사를 진행할 수 있겠어."""
msn_022062_0090#0,"""이야 정말 고마워.<br>정말 많은 도움이 됐어."""
msn_022062_0100#0,"""그럼 …앗!<br>괜찮다면 산장에도 한 번쯤은 가줬으면 하는데."""
msn_022062_0110#0,"""메리가 아마 기뻐할 거야."""
