msc_022070_0010#0,"""…하아."""
msc_022070_0020#0,"""왜 그래?"""
msc_022070_0030#0,"""괜찮아?"""
msc_022070_0040#0,"""…어?"""
msc_022070_0050#0,"""아, 너였구나."""
msc_022070_0060#0,"""…아."""
msc_022070_0070#0,"""뭐야, 너였구나."""
msc_022070_0080#0,"""…미안.<br>내가 좀 정신이 없어서."""
msc_022070_0090#0,"""…괜찮아.<br>걱정할 거 없어."""
msc_022070_0100#0,"""정말로?"""
msc_022070_0110#0,"""역시 무리한 거 아닌가…."""
msc_022070_0120#0,"""응, 정말로."""
msc_022070_0130#0,"""아니, 그런 건 아니야."""
msc_022070_0140#0,"""내 한계가 어디까지인지 잘 알고 있으니까."""
msc_022070_0150#0,"""꽤나 긴장한 탓에,<br>조금 피곤했을 뿐이야."""
msc_022070_0160#0,"""정말로, 아무렇지 않으니까…."""
msc_022070_0170#0,"""…그럼,<br>조사해야 하는 게 더 있으니까 가볼게."""
msc_022070_0180#0,"""마논을 만나러 온건가."""
msc_022070_0190#0,"""피곤해 보이는데."""
msc_022070_0200#0,"""마논에게 무슨 일이 있었어?"""
msc_022070_0210#0,"""…아아 그래."""
msc_022070_0220#0,"""…무슨 일, 인가…."""
msc_022070_0230#0,"""거의 쉬질 못했어."""
msc_022070_0240#0,"""너도 그 힘에 대해 알고 있는 모양이군."""
msc_022070_0250#0,"""저걸 사사건건 써가면서까지<br>목적을 이루려는 모양이야."""
msc_022070_0260#0,"""덕분에 조사는 순조롭게 진행되고 있어."""
msc_022070_0270#0,"""그래서 대원들 사이에서의 평가는 굉장히 높아."""
msc_022070_0280#0,"""신뢰받고 있다고 해도 과언이 아니야."""
msc_022070_0290#0,"""…하지만, 무모한 짓을 해가면서<br>스스로 상처를 입히는 일이 있어선 의미가 없어."""
msc_022070_0300#0,"""본인에게도 그렇게 얘기하고 있다만…."""
msc_022070_0310#0,"""게다가 아무리 강해도,<br>혼자서는 이룰 수 없는 일이 있어."""
msc_022070_0320#0,"""…네게 충고를 받았던<br>내가 할 말은 아닐 수도 있겠지만."""
msc_022070_0330#0,"""………。"""
msc_022070_0340#0,"""뭐 됐어."""
msc_022070_0350#0,"""당분간은 어떤지 지켜보자. """
