msc_022050_0010#0,"""…후우."""
msc_022050_0020#0,"""혹시,<br>날 보러 온 거야?"""
msc_022050_0030#0,"""걱정이 많네."""
msc_022050_0040#0,"""힘에 대해서 들었어."""
msc_022050_0050#0,"""힘을 쓰고 있는거야?"""
msc_022050_0060#0,"""그래…."""
msc_022050_0070#0,"""…그만큼 사용해 댔으니,<br>이렇게 되는구나…."""
msc_022050_0080#0,"""힘…."""
msc_022050_0090#0,"""그걸 알아차렸구나…."""
msc_022050_0100#0,"""너한텐 제대로 설명할게."""
msc_022050_0110#0,"""내가 사용하는 건,<br>\""오버 부스트\""라고 불리는 것."""
msc_022050_0120#0,"""할파에서의 임무를 위해,<br>제페토가 준 힘이야."""
msc_022050_0130#0,"""단, 비상시 외에는<br>사용이 제한되어 있었어."""
msc_022050_0140#0,"""…내 정체를<br>눈치채지 못하게 위해서…."""
msc_022050_0150#0,"""…하지만, 지금은 그 힘을 숨길 필요가 없어."""
msc_022050_0160#0,"""그렇기에 적극적으로 사용하고 있을 뿐이야."""
msc_022050_0170#0,"""그래도 괜찮아?"""
msc_022050_0180#0,"""무모한 짓은 하지 말아줘."""
msc_022050_0190#0,"""걱정하지 마."""
msc_022050_0200#0,"""무모한 짓은 하지 않고 있어."""
msc_022050_0210#0,"""괜찮아."""
msc_022050_0220#0,"""신속하고 안전하게 조사를 진행하기 위해서,<br>잘 활용하고 있어."""
msc_022050_0230#0,"""다른 조사대원들도 좋아하고 있어."""
msc_022050_0240#0,"""그보다 너는 요즘 어때?"""
msc_022050_0250#0,"""내 이야기를 들려주기보다, 네 이야기를 더 듣고 싶어."""
