msc_023050_0010#0,"""…꺄악!?"""
msc_023050_0020#0,"""까, 깜짝 놀랐어."""
msc_023050_0030#0,"""여전히 기척을 없애는 데 능숙하네."""
msc_023050_0040#0,"""그보다 아이나에 대한 걸 들었어."""
msc_023050_0050#0,"""지도 교관으로서,<br>신인 육성을 맡았다고 하던데."""
msc_023050_0060#0,"""열심히 하겠다고 했어."""
msc_023050_0070#0,"""아이나가 걱정돼?"""
msc_023050_0080#0,"""혼자서 괜찮…을까."""
msc_023050_0090#0,"""전혀 걱정 안 돼…라고 하면 거짓말이겠지."""
msc_023050_0100#0,"""…그래도, 아이나는 적응력이 좋으니까<br>분명 해낼 수 있을 거야."""
msc_023050_0110#0,"""나도 열심히 해야겠지."""
msc_023050_0120#0,"""조사 말이지?"""
msc_023050_0130#0,"""몸은 좀 어때?"""
msc_023050_0140#0,"""응…."""
msc_023050_0150#0,"""그렇네…."""
msc_023050_0160#0,"""루시엘에 있을 적에는 할파에 대한 걸<br>뭐든 알고 있다고 생각했지만…."""
msc_023050_0170#0,"""지금이 되서는 모르는 것이,<br>더 많다고 느끼고 있어."""
msc_023050_0180#0,"""루시엘의 조작이 없더라도,<br>할파는 ㅅㅇ태계가 유지될 수 있도록 되어 있어."""
msc_023050_0190#0,"""그러한 부분은 완전히 자동화가 되어 있어서,<br>우리도 구조를 이해하진 못했어."""
msc_023050_0200#0,"""할파에서 생성되는 돌즈에 대해서도…."""
msc_023050_0210#0,"""돌즈를 막을 순 없나?"""
msc_023050_0220#0,"""역시, 플랜트를 파괴하는 수밖에…."""
msc_023050_0230#0,"""…지금 당장엔…."""
msc_023050_0240#0,"""그건, 정말 최후의 수단이야…."""
msc_023050_0250#0,"""우선은, 각지의 에너지 공급에 대해서<br>조사해 볼 생각이야."""
msc_023050_0260#0,"""그리고 돌즈의 제조 과정을,<br>다시 한번 확인해 보려고."""
msc_023050_0270#0,"""분명 좋은 방법을 찾을 수 있을 거야."""
msc_023050_0280#0,"""기대할게."""
msc_023050_0290#0,"""응.<br>반드시…."""
msc_023050_0300#0,"""그게 내가 해야 할 일이니까."""
msc_023050_0310#0,"""나에 대한건 괜찮으니까."""
msc_023050_0320#0,"""너는 아이나를<br>지켜봐줘."""
msc_023050_0330#0,"""알고 있어."""
msc_023050_0340#0,"""마논도 걱정돼."""
msc_023050_0350#0,"""부탁할게."""
msc_023050_0360#0,"""…나, 나는 정말로 괜찮으니까."""
msc_023050_0370#0,"""그럼, 이만 갈게."""
msc_023050_0380#0,"""너도 힘내."""
