msc_023040_0010#0,"""음?<br>앗, <%me>구나."""
msc_023040_0020#0,"""으음?<br>왜 그래?"""
msc_023040_0030#0,"""그 옷차림은?"""
msc_023040_0040#0,"""분위기가 달라졌네?"""
msc_023040_0050#0,"""아 이거."""
msc_023040_0060#0,"""아, 그렇게 보여?"""
msc_023040_0070#0,"""에헤헤, 어떠려나.<br>잘 어울려?"""
msc_023040_0080#0,"""이제 막 신병 훈련에 가는 참이었거든."""
msc_023040_0090#0,"""새 옷으로 갈아입어봤어."""
msc_023040_0100#0,"""우선은,<br>모습만이라도 교관답게 하려고."""
msc_023040_0110#0,"""입어 봤는데…."""
msc_023040_0120#0,"""제대로 교관처럼 보여."""
msc_023040_0130#0,"""훌륭한 분 같네."""
msc_023040_0140#0,"""정말로?<br>네가 그렇게 말할 정도면 괜찮으려나~"""
msc_023040_0150#0,"""에에?<br>그런 뜻으로 한 말은 아닌데…."""
msc_023040_0160#0,"""…솔직히 아직은 불안해."""
msc_023040_0170#0,"""지금까지 다른 사람에게,<br>뭔가를 가르친 적이 없으니까…."""
msc_023040_0180#0,"""잘 할 수 있을지 자신도 없고."""
msc_023040_0190#0,"""내가 교관 역할을 하면,<br>다들 따라 줄지 싶어서."""
msc_023040_0200#0,"""…하지만 여태까지 했던 일과 달라진다 한들,<br>모두에게 도움이 되고 싶다는 마음은 변하지 않아."""
msc_023040_0210#0,"""그러니까, 최선을 다해 해볼 생각이야."""
msc_023040_0220#0,"""게다가, 마논도 열심히 하고 있으니까."""
msc_023040_0230#0,"""뒤처져선 안 되겠지!"""
msc_023040_0240#0,"""그럼, 나는 이만 가볼게."""
msc_023040_0250#0,"""좋아!<br>후배들에게 좋은 모습을 보여주겠어!"""
