msc_023020_0010#0,"""あ、<%me>！"""
msc_023020_0020#0,"""今のは？"""
msc_023020_0030#0,"""知らないアークスだ。"""
msc_023020_0040#0,"""入隊したてのアークスだよ。"""
msc_023020_0050#0,"""まだ入隊したばかりだからね。"""
msc_023020_0060#0,"""これから、あたしが担当する訓練生。"""
msc_023020_0070#0,"""크로포드からの依頼、受けることにしたんだ。"""
msc_023020_0080#0,"""それで、ふたりはその訓練が始まる前に、<br>わざわざ挨拶に来てくれたの。"""
msc_023020_0090#0,"""尊敬するアイナ先輩に、<br>指導してもらえるなんて光栄です……だって。"""
msc_023020_0100#0,"""人気者だね。"""
msc_023020_0110#0,"""アイナ教官。"""
msc_023020_0120#0,"""いやぁ……、あはは……。"""
msc_023020_0130#0,"""慕われるのは、嬉しいけど……。"""
msc_023020_0140#0,"""もう、やめてよ！<br>なんだか、照れるよ。"""
msc_023020_0150#0,"""で、ふたりから聞いたんだけどね。"""
msc_023020_0160#0,"""あたしたちって、有名人なんだって。"""
msc_023020_0170#0,"""<%me>と、マノンとあたしの三人。"""
msc_023020_0180#0,"""各地で戦ってきたことが、<br>いろんなところで噂になってるらしくて。"""
msc_023020_0190#0,"""ちょっとした英雄みたいな感じ。"""
msc_023020_0200#0,"""まあ、だいたいは크로포드が、<br>大げさに宣伝したせいなんだろうけど……。"""
msc_023020_0210#0,"""あんまり実感がないな。"""
msc_023020_0220#0,"""みんなの士気を上げるため。"""
msc_023020_0230#0,"""そうだよね。<br>あたしも全然、実感ないなぁ。"""
msc_023020_0240#0,"""それは、そうなんだけどさ。"""
msc_023020_0250#0,"""やっぱり、プレッシャーだよ。"""
msc_023020_0260#0,"""とくにあたしは、<%me>たちの後に、<br>一生懸命ついていってただけだから……。"""
msc_023020_0270#0,"""注目なんかされても、<br>どうしたらいいかわからない。"""
msc_023020_0280#0,"""そんな、すごいアークスじゃないのに……って。"""
msc_023020_0290#0,"""アイナは、すごいアークスだよ。"""
msc_023020_0300#0,"""アイナのおかげで、戦ってこられた。"""
msc_023020_0310#0,"""えっ？<br>そ、そうかなぁ……。"""
msc_023020_0320#0,"""ほ、ホントに？"""
msc_023020_0330#0,"""そんなふうに、思ってくれてたんだ。"""
msc_023020_0340#0,"""えっと……。"""
msc_023020_0350#0,"""……うん、そうだよね。"""
msc_023020_0360#0,"""みんなが期待してくれてるなら、<br>それに応えないといけないよね。"""
msc_023020_0370#0,"""訓練の教官役、頑張ってみるよ。"""
