name_7224#0,"""Xitrae"""
name_7234#0,"""Peppy Rappy"""
ssn_019110_002_0010#0,"""ขอบใจที่มาหาฉันนะ<br>ขอแนะนำตัวอีกรอบแล้วกัน"""
ssn_019110_002_0020#0,"""ฉันชื่อ Xitrae อยู่หน่วย Supply Corps ของ Central City<br>รับหน้าที่จัดการเสบียงและสนับสนุนการต่อสู้น่ะ"""
ssn_019110_002_0030#0,"""คือเรื่องมันมีอยู่ว่า..."""
ssn_019110_002_0040#0,"""ช่วงนี้มีรายงานการพบเห็น Rappy เยอะขึ้นมาก..."""
ssn_019110_002_0050#0,"""หัวหน้าของฉันที่บ้า Rappy มากๆ ก็เลยโวยวายว่า<br>'ฉันจะไปตามหามันด้วย!' น่ะสิ"""
ssn_019110_002_0060#0,"""ตอนทำงานก็เอาแต่เหม่อลอย<br>จนส่งผลกระทบต่อแผนของหน่วยเสบียงแล้วเนี่ย"""
ssn_019110_002_0070#0,"""ก็เลยอยากจะขอร้องน่ะ<br>ช่วยไปเก็บข้อมูล Rappy มาให้หน่อยได้ไหม?"""
ssn_019110_002_0080#0,"""ถ้าเอาข้อมูลไปให้ดู<br>ก็น่าจะช่วยให้เขากลับมามีสมาธิกับการทำงานได้บ้างล่ะนะ"""
ssn_019110_002_0090#0,"""ฉันเตรียมของตอบแทนไว้ให้อย่างดีแน่นอน!<br>เพราะงั้น ฝากด้วยนะ!"""
ssn_019110_002_0110#0,"""<%me>!<br>ขอบใจที่มาหาฉันนะ"""
ssn_019110_002_0120#0,"""เข้าเรื่องเลยแล้วกัน<br>รู้ไหมว่าช่วงนี้มีรายงานการพบเห็น Rappy เยอะขึ้นมาก?"""
ssn_019110_002_0130#0,"""แล้วทีนี้... หัวหน้าของฉันที่บ้า Rappy มากๆ ก็เลยโวยวายว่า<br>'ฉันจะไปตามหามันด้วย!' น่ะสิ"""
ssn_019110_002_0140#0,"""ตอนทำงานก็เอาแต่เหม่อลอย<br>จนส่งผลกระทบต่อแผนของหน่วยเสบียงแล้วเนี่ย"""
ssn_019110_002_0150#0,"""ก็เลยอยากจะขอร้องน่ะ<br>ช่วยไปเก็บข้อมูล Rappy มาให้หน่อยได้ไหม?"""
ssn_019110_002_0160#0,"""ถ้าเอาข้อมูลไปให้ดู<br>ก็น่าจะช่วยให้เขากลับมามีสมาธิกับการทำงานได้บ้างล่ะนะ"""
ssn_019110_002_0170#0,"""ฉันเตรียมของตอบแทนไว้ให้อย่างดีแน่นอน!<br>เพราะงั้น ฝากด้วยนะ!"""
ssn_019110_002_0210#0,"""<%me>!<br>ขอบใจที่มาหาฉันนะ"""
ssn_019110_002_0220#0,"""เข้าเรื่องเลยแล้วกัน<br>รู้ไหมว่าช่วงนี้มีรายงานการพบเห็น Rappy เยอะขึ้นมาก?"""
ssn_019110_002_0230#0,"""แล้วทีนี้... หัวหน้าที่บ้า Rappy มากๆ ที่เธอก็รู้จักดีนั่นแหละ โวยวายว่า<br>'ฉันจะไปตามหามันด้วย!' น่ะสิ"""
