msc_010060_0010#0,"""¡¿Hay más?!"""
msc_010060_0020#0,"""¡Raaaaagh!"""
msc_010060_0030#0,"""Padre?!"""
msc_010060_5010#0,"""¡Hah!"""
msc_010060_5020#0,"""¡Ragh!"""
msc_010060_0040#0,"""Uf. Menos mal que he seguido mi instinto y he venido aquí."""
msc_010060_0050#0,"""Aina, Manon--¿Están bien?"""
msc_010060_0060#0,"""Bien. ...¿Y tú?"""
msc_010060_0070#0,"""Yo soy Garoa. Encantado de conocerte."""
msc_010060_0080#0,"""Después de haber caído del cielo, probablemente aún estés tratando de orientarte"""
msc_010060_0090#0,"""A diferencia de Manon, dudo que sepas mucho de lo que está pasando."""
msc_010060_0100#0,"""... Sí, me lo imaginaba."""
msc_010060_0110#0,"""Bueno, volvamos a la aldea para que se arreglen. Aina, Manon, ¿terminaron de reunir las señales?"""
msc_010060_0120#0,"""Oh, verdad! Sólo necesitamos algunos más"""
