name010#0,"""Aina."""
text010#0,"""Te llevaré a nuestra ciudad. Ya hablaremos de ello."""
text020#0,"""¿Crees que podemos caminar hasta los acantilados de allí?"""
Text_Move_Pad#0,"""Movimiento:"""
Text_Move_Key#0,"""Avance y retroceso:"""
Text_Move_Key2#0,"""Movimiento izquierda derecha."""
Text_Jump#0,"""Saltar:"""
Text_DoubleJump#0,"""Doble salto:"""
Text_Sight#0,"""Manejo de cámara:"""
Button_Move_Pad#0,"""<swguidetype T_Moveguide_l>"""
Button_Move_Key#0,"""<%MoveForward><pict 4space><%MoveBack>"""
Button_Move_Key2#0,"""<%MoveLeft><pict 4space><%MoveRight>"""
Button_Jump#0,"""<%Jump>"""
Button_DoubleJump#0,"""<%Jump><pict 4space> despues <pict 4space><%Jump>"""
Button_Sight_Pad#0,"""<swguidetype T_Moveguide_r>"""
Button_Sight_Key#0,"""movimiento del ratón  """
