name010#0,"""Fyne."""
text010#0,"""Y justo cuando estaba diciendo eso, ¡aquí viene el Enemigo! ¡Veamos lo que puedes hacer!"""
Text_PA#0,"""Photon Arts (PA):"""
Text_TEC#0,"""Técnica:"""
Button_PATEC#0,"""<%PhotonArts>"""
Text_chargePA#0,"""Cargar PA:"""
Text_chargeTEC#0,"""Cargar Tech:"""
Text_chargePA2#0,"""Cambiar ataque durante la PA:"""
Button_charge#0,"""<%PhotonArts><pict 4space>Pulsación larga"""
Button_charge2#0,"""En PA"""
Button_charge2_2#0,"""En momentos específicos<pict 4space><%NormalAttack><pict 4space> o <pict 4space><%PhotonArts>"""
