msc_010160_5010#0,"""Haaaaah!"""
msc_010160_5020#0,"""Raghh!"""
msc_010160_0010#0,"""No puede ser..."""
msc_010160_0020#0,"""Aina, ve con ellos y corre a la cueva del norte!"""
msc_010160_0030#0,"""¿Qué? Pero..."""
msc_010160_0040#0,"""Sólo vamos a estorbarle... Es lo que quiere decir."""
msc_010160_0050#0,"""...Si."""
msc_010160_0060#0,"""Aina, nos vamos!"""
msc_010160_0070#0,"""Yo... Yo sólo..."""
msc_010160_0080#0,"""Aaaah!"""
msc_010160_0090#0,"""Aina, Corre!"""
msc_010160_0100#0,"""Tú también!"""
msc_010160_0110#0,"""Veeeeee!"""
