name010#0,"""Fyna."""
text010#0,"""A continuación, te mostraré cómo cambiar entre más métodos de ataque, al instante. ¡Hazlo como te explico!"""
Text_PA#0,"""Photon Arts."""
Text_TEC#0,"""Técnica."""
Button_PATEC#0,"""<%PhotonArts>"""
Text_chargePA#0,"""Cargar PA:"""
Text_chargeTEC#0,"""Cargar Tech:"""
Text_chargePA2#0,"""Cambio de ataques durante la PA"""
Button_charge#0,"""<%PhotonArts><pict 4space>Mantenga pulsado"""
Button_charge2#0,"""Durante Photon Arts"""
Button_charge2_2#0,"""En momento específico<pict 4space><%NormalAttack><pict 4space>か<pict 4space><%PhotonArts>"""
Text_ura_hold#0,"""Cambio de paleta trasera"""
Text_ura_push#0,"""Cambio de paleta"""
Button_ura_hold#0,"""<%WeaponAction_2><pict 4space>Manten pulsado"""
Button_ura_push#0,"""<%WeaponAction_2>"""
Text_uraPATEC#0,"""paleta trasera\u3000"""
Text_uraPA#0,"""paleta traseraPA："""
Text_uraTEC#0,"""Técnica de paleta trasera:"""
Button_uraPA_hold#0,"""<%WeaponAction_2><pict 4space>mientras se pulsa<pict 4space><%NormalAttack>"""
Button_uraPA_push#0,"""Cambia a paleta trasera.<pict 4space><%NormalAttack>"""
