msc_010130_0010#0,"""Aquí, toma asiento."""
msc_010130_0020#0,"""Muy bien, vamos a tomarlo desde el principio."""
msc_010130_0030#0,"""Soy Garoa. Soy el líder de esta aldea."""
msc_010130_0040#0,"""Esta es Aina. Es mi hija."""
msc_010130_0050#0,"""¡Hiya!"""
msc_010130_0060#0,"""Y junto a ella está Manon."""
msc_010130_0070#0,"""...Hola."""
msc_010130_0080#0,"""De acuerdo, primero, hablemos de dónde demonios estás"""
msc_010130_0090#0,"""Llamamos a este planeta Halpha."""
msc_010130_0100#0,"""Y en él, estamos en un pueblo llamado Aerio Town"""
msc_010130_0110#0,"""Probablemente sea demasiado pequeño para tener nombre, pero bueno."""
msc_010130_0120#0,"""Al norte de aquí está Ciudad Central, la más grande de su tipo en Halpha."""
msc_010130_0130#0,"""Haciendo honor a su nombre, es prácticamente el centro de todo el gobierno y el comercio. Tus pies seguramente te llevarán allí algún día."""
msc_010130_0140#0,"""Ahora, el siguiente tema..."""
msc_010130_0150#0,"""Los DOLLS."""
msc_010130_0160#0,"""¿Esa Pedas Sword con el que luchabas antes? En realidad es uno de los más pequeños."""
msc_010130_0170#0,"""Los Halphianos hemos estado luchando contra los DOLLS desde que podemos recordar."""
msc_010130_0180#0,"""Si tuviera que dar un número de años, bueno, veamos..."""
msc_010130_0190#0,"""Dicen que lleva más de 500 años."""
msc_010130_0200#0,"""Lo que ella dijo."""
msc_010130_0210#0,"""Sin embargo, todavía hay muchas cosas que realmente no sabemos sobre los DOLLS."""
msc_010130_0220#0,"""¿Por qué nos atacan? ¿De dónde vienen? Nadie tiene una sola pista."""
msc_010130_0240#0,"""Hay una cosa que todo el mundo sabe con seguridad, sin embargo: Los DOLLS son nuestros enemigos, todos y cada uno de ellos."""
msc_010130_0250#0,"""Ya que estamos en el tema de los misterios, también estan ustedes, los Meteorn."""
msc_010130_0260#0,"""Meteorn es como llamamos a la gente que cae del espacio exterior dentro de una de esas vainas como la que te encontraron"""
msc_010130_0270#0,"""Manon por allí, es una Meteorn como tú."""
msc_010130_0280#0,"""Manon apareció aquí hace unos seis meses, cerca de la misma isla que tú. Ahora, ella vive aquí con nosotros dos."""
msc_010130_0290#0,"""Al igual que DOLLS, no tenemos ni idea de dónde vienen los Meteorn, ni con qué propósito lo hacen."""
msc_010130_0300#0,"""¿Por qué todos ellos parecen no tener recuerdos de antes de aterrizar aquí?"""
msc_010130_0310#0,"""También es cierto para ti, ¿verdad?"""
msc_010130_0320#0,"""Bueno, de vez en cuando hay raras excepciones, como Manon aquí."""
msc_010130_0330#0,"""...Sí, parece que he conservado una parte de mis conocimientos en comparación con otros Meteorn."""
msc_010130_0340#0,"""¡Sí, Manon es súper inteligente! Es muy buena con las máquinas, ¡e incluso me ayuda con mis estudios!"""
msc_010130_0350#0,"""Algunos dicen que los DOLLS y Meteorn podrían incluso venir del mismo lugar"""
msc_010130_0360#0,"""Aunque eso sea cierto, seguirán siendo nuestros aliados"""
msc_010130_0370#0,"""Los Meteorn nos han ayudado durante muchos años. Eso es seguro"""
msc_010130_0380#0,"""De todos modos, creo que es suficiente para las conferencias."""
msc_010130_0390#0,"""Todo lo que hemos hablado se puede encontrar en ese Mag tuyo."""
msc_010130_0400#0,"""Tu Mag es esa cosa que flota a tu lado."""
msc_010130_0410#0,"""Esa Mag es mucho más avanzada que las nuestras. Esa es otra cosa peculiar de Meteorn."""
msc_010130_0420#0,"""Ah, me distraje de nuevo. Dejémoslo para otra ocasión."""
msc_010130_0430#0,"""Tu Tienes hambre?"""
msc_010130_0440#0,"""Si."""
msc_010130_0450#0,"""Realmente no."""
msc_010130_0460#0,"""¡Bien! Te prepararé algo para comer. Siéntete libre de echar un vistazo al pueblo mientras lo preparo."""
msc_010130_0470#0,"""Bueno, al menos déjame traerte una bebida."""
msc_010130_0480#0,"""Hace tiempo que no tengo visitas, así que déjame darte la bienvenida como es debido."""
msc_010130_0490#0,"""Siéntanse libres de echar un vistazo al pueblo mientras la preparo"""
