Title#0,"""Solo Training: Heaven and Hell"""
Explanation#0,"""This is a special training program<br>aimed at people with outstanding ability.<br>Only those who can make instant<br>decisions in solo combat can beat this<br>simulation. Because of the extremely high<br>risk involved, an [Extreme Pass] is<br>required to participate in this mission.<br><br>――――――――――――――――――――<br>Failure: Retire after being incapacitated."""
SimpleExplanation#0,"""Clear 5 stages!"""
Area0S#0,"""VR Space (Extreme) Area"""
Area0L#0,"""VR Space (Extreme) Area"""
Area1S#0,"""VR Space (Extreme) Area"""
Area1L#0,"""VR Space (Extreme) Area"""
Area2S#0,"""VR Space (Extreme) Area"""
Area2L#0,"""VR Space (Extreme) Area"""
Area3S#0,"""VR Space (Extreme) Area"""
Area3L#0,"""VR Space (Extreme) Area"""
Area4S#0,"""VR Space (Extreme) Area"""
Area4L#0,"""VR Space (Extreme) Area"""
QuestInfoAreaName#0,"""VR Space (Extreme)"""
a2#0,"""You must pay 1 Extreme Pass<br>on the Campship."""
