Title#0,"""독극 훈련: 광상과 환창"""
Explanation#0,"""이 훈련은 상당한 실력을 갖춘 자를 위한<br>특별 훈련 프로그램이다.<br>정확한 판단을 즉시 내리는 기술을<br>익히기 위해 모든 과정을 「단독」으로<br>수행하고 프로그램을 제패하라.<br>위험성이 높은 훈련 프로그램이므로<br>「익스트림 패스」가 필요하다.<br>――――――――――――――――――――<br>다크 블래스트 사용 불가<br>스케이프 돌·하프 돌 사용 금지<br>실패 조건/전투 불능"""
SimpleExplanation#0,"""5개 스테이지를 제패하라!"""
Area0S#0,"""VR 공간(극) 에어리어"""
Area0L#0,"""VR 공간(극) 에어리어"""
Area1S#0,""" VR 공간(극) 에어리어"""
Area1L#0,""" VR 공간(극) 에어리어"""
Area2S#0,""" VR 공간(극) 에어리어"""
Area2L#0,""" VR 공간(극) 에어리어"""
Area3S#0,""" VR 공간(극) 에어리어"""
Area3L#0,""" VR 공간(극) 에어리어"""
Area4S#0,""" VR 공간(극) 에어리어"""
Area4L#0,""" VR 공간(극) 에어리어"""
QuestInfoAreaName#0,""" VR 공간(극)"""
a2#0,"""익스트림 패스 1개를<br>캠프 쉽에서 지불해야 합니다."""
