Title#0,"""독극 훈련：이계와 초계"""
Explanation#0,"""이 곳은 뛰어난 실력을 가진 사람들을 위한<br>특훈 프로그램이다. 정확한 판단을<br>순식간에 내리는 기술을 익히기 위해 전부<br>「단독」으로 실시해 이 프로그램을 제패하라.<br>또한 위험성 높은 훈련이기 때문에<br>익스트림 패스가 필요하다.<br>――――――――――――――――――――<br>다크 블래스트 사용 불가<br>이스케이프 돌/하프 돌 사용 금지<br>실패 조건/전투불능 """
SimpleExplanation#0,"""5개의 스테이지를 재패하라!"""
Area0S#0,"""VR 공간(극) 에어리어"""
Area0L#0,"""VR 공간(극) 에어리어"""
Area1S#0,""" VR 공간(극) 에어리어"""
Area1L#0,""" VR 공간(극) 에어리어"""
Area2S#0,""" VR 공간(극) 에어리어"""
Area2L#0,""" VR 공간(극) 에어리어"""
Area3S#0,""" VR 공간(극) 에어리어"""
Area3L#0,""" VR 공간(극) 에어리어"""
Area4S#0,""" VR 공간(극) 에어리어"""
Area4L#0,""" VR 공간(극) 에어리어"""
Area5S#0,""" VR 공간(극) 에어리어"""
Area5L#0,""" VR 공간(극) 에어리어"""
Area6S#0,""" VR 공간(극) 에어리어"""
Area6L#0,""" VR 공간(극) 에어리어"""
Area7S#0,""" VR 공간(극) 에어리어"""
Area7L#0,""" VR 공간(극) 에어리어"""
Area8S#0,""" VR 공간(극) 에어리어"""
Area8L#0,""" VR 공간(극) 에어리어"""
Area9S#0,""" VR 공간(극) 에어리어"""
Area9L#0,""" VR 공간(극) 에어리어"""
Area10S#0,""" VR 공간(극) 에어리어"""
Area10L#0,""" VR 공간(극) 에어리어"""
QuestInfoAreaName#0,""" VR 공간 (극)"""
a2#0,"""익스트림 패스 1개를<br>캠프쉽에서 지불해야 합니다."""
