Title#0,"""극한 훈련: 이계와 초계"""
Explanation#0,"""절대적인 위기 상황에서의 전투 능력을<br>측정하기 위해 가상 재현 공간을 이용한<br>훈련 프로그램이 확립되었다.<br>실력에 자신 있는 아크스 각원은<br>자신의 한계에 도전하라.<br>위험성이 높은 훈련이므로<br>「익스트림 패스」가 필요하다.<br>――――――――――――――――――――<br>다크 블래스트 사용 불가<br>스케이프 돌·하프 돌 사용 금지<br>실패 조건/파티 전원의 전투 불능<br>제한 시간 경과"""
SimpleExplanation#0,"""5개 스테이지를 제패하라!"""
Area0S#0,"""VR 공간(극) 에어리어"""
Area0L#0,"""VR 공간(극) 에어리어"""
Area1S#0,""" VR 공간(극) 에어리어"""
Area1L#0,""" VR 공간(극) 에어리어"""
Area2S#0,""" VR 공간(극) 에어리어"""
Area2L#0,""" VR 공간(극) 에어리어"""
Area3S#0,""" VR 공간(극) 에어리어"""
Area3L#0,""" VR 공간(극) 에어리어"""
Area4S#0,""" VR 공간(극) 에어리어"""
Area4L#0,""" VR 공간(극) 에어리어"""
Area5S#0,""" VR 공간(극) 에어리어"""
Area5L#0,""" VR 공간(극) 에어리어"""
Area6S#0,""" VR 공간(극) 에어리어"""
Area6L#0,""" VR 공간(극) 에어리어"""
Area7S#0,""" VR 공간(극) 에어리어"""
Area7L#0,""" VR 공간(극) 에어리어"""
Area8S#0,""" VR 공간(극) 에어리어"""
Area8L#0,""" VR 공간(극) 에어리어"""
Area9S#0,""" VR 공간(극) 에어리어"""
Area9L#0,""" VR 공간(극) 에어리어"""
Area10S#0,""" VR 공간(극) 에어리어"""
Area10L#0,""" VR 공간(극) 에어리어"""
QuestInfoAreaName#0,""" VR 공간(극)"""
a2#0,"""익스트림 패스 1개를<br>캠프 쉽에서 지불해야 합니다."""
