Title#0,"""EX Training: Terran Phantoms"""
Explanation#0,"""絶対的な危機での戦闘能力を測るため<br>疑似再現された空間内での訓練プログラムが<br>確立された。腕に覚えのあるアークス各員は<br>己の限界に挑戦せよ。危険性が高い訓練の為<br>「エクストリームパス」が必要となる。<br>――――――――――――――――――――<br>Dark Blasts unavailable<br>Scape Dolls/Half Dolls unavailable<br>Failure: All members incapacitated<br>or time limit expires"""
SimpleExplanation#0,"""Clear 5 stages!"""
Area0S#0,"""VR Space (Extreme) Area"""
Area0L#0,"""VR Space (Extreme) Area"""
Area1S#0,"""VR Space (Extreme) Area"""
Area1L#0,"""VR Space (Extreme) Area"""
Area2S#0,"""VR Space (Extreme) Area"""
Area2L#0,"""VR Space (Extreme) Area"""
Area3S#0,"""VR Space (Extreme) Area"""
Area3L#0,"""VR Space (Extreme) Area"""
Area4S#0,"""VR Space (Extreme) Area"""
Area4L#0,"""VR Space (Extreme) Area"""
QuestInfoAreaName#0,"""VR Space (Extreme)"""
a2#0,"""You must pay 1 Extreme Pass<br>on the Campship."""
