name01#0,"""카린"""
linewindow#0,"""<br>『익스트림 퀘스트』가상 아이템에 대해서<br>"""
text00#0,"""『익스트림 퀘스트』가상 아이템에 대해서"""
text07#0,"""드랍 아이템에 대해서 설명합니다.<br><br>「익스트림 퀘스트」에서 출현하는 에너미는<br>인공적으로 재현한 것입니다.<br><br>따라서 재현성이 어려운 일부 드랍 아이템은<br>불안정한 상태로 출현합니다.<br><br>그런 아이템들은 전용 아이콘으로 출현합니다."""
text08#0,"""전용 아이콘으로 드롭된 아이템은<br>습득해도 아이템 팩에 들어가지 않으며,<br>불안정한 데이터이기 때문에 전용 공간에<br>가상 아이템으로 보관됩니다.<br><br><yellow>전용 공간에 보관된 가상 아이템은<br>퀘스트 종료 시 사라집니다.<br>퀘스트를 클리어한 경우에만<br>「익스트림 단말」에서 일정 수량을<br>가져갈 수 있습니다.<c>"""
text09#0,"""「스테이지 오더」를 설명합니다.<br><br>「익스트림 퀘스트」에서는 스테이지마다<br>「스테이지 오더」라는 실험적 의뢰가 주어집니다.<br><br>이를 달성하면 에너미가 드롭하는<br>아이템 수가 늘어납니다.<br><br>또한 일정 횟수만큼 달성할 때마다<br>퀘스트 클리어 후 가져갈 수 있는 아이템 수도 늘어납니다."""
text10#0,"""일부 「스테이지 오더」는<br>플레이어가 모든 회복 효과를 받지 않고<br>조건을 달성해야 합니다.<br><br><yellow>※단, 마그의 회복 효과와 스킬의 자동 회복 효과,<br>유료 아이템의 회복 효과는 대상에서 제외됩니다.<c>"""
text11#0,"""「에너미 능력 변화」를 설명합니다.<br><br>「익스트림 퀘스트」에서는 혹독한 상황을 재현하기 위해<br>에너미를 인위적으로 강화합니다.<br>이를 「에너미 능력 변화」라고 합니다.<br><br>일부 내성을 강화하는 「에너미 능력 변화」는<br>이전 스테이지의 「스테이지 오더」를 달성하면<br>반전되어 유리한 효과로 바꿀 수 있습니다."""
skit01#0,"""그럼 시작할게요!<br>뭐든 배우기보다 익숙해지는 게 먼저죠!<br>그러니 힘내 주세요."""
skit01_01#0,"""모처럼이니 각 스테이지마다<br>제가 <c f46b41>스테이지 오더<c>라는<br>실험 과제를 내드릴게요."""
skit02#0,"""난도가 조~금 높지만<br><blue>달성하면 에너미가 약해지거나<br>클리어 보상이 늘어나기도<c> 해요!"""
skit03#0,"""그뿐만이 아니에요!<br>드롭 아이템 수와 가져갈 수 있는<br>아이템 수도 크게 늘어난답니다!"""
skit04#0,"""네, 그럼 잘 부탁드려요.<br>저는 카린이라고 해요."""
skit05#0,"""익스트림 퀘스트 관리를<br>맡고 있답니다.<br>앞으로 오래 볼 수 있으면 좋겠네요."""
skit06#0,"""이 퀘스트는<br>우선 <blue>5개 스테이지만 클리어하면<br>퀘스트 클리어<c>예요."""
skit07#0,"""초심자는 사절할 만큼 가혹한 난도지만<br>달성하면 재현 데이터가 변해<br>에너미가 약해지기도 해요!"""
skit08#0,"""과제를 달성하면 <blue>다음 스테이지의<br>난도가 더 높아지지만<c><br>그만큼 보상도 크게 늘어요!"""
