11_voice_NPC_19_100#0,"""……안녕.<br>나한테, 무슨 볼일이야?"""
Kuro_01_020#0,"""……그렇구나.<br>샵 에어리어의 검은 고양이가<br>부탁해서 온 거네."""
Kuro_01_030#0,"""……동물은 자꾸 나를 피해.<br>어떤 표정으로 다가가야 할지<br>모르겠어."""
Kuro_01_040#0,"""……동물은 기척에 민감하니까<br>내가 긴장하면 그게<br>상대에게도 전해지는 걸지도 몰라."""
Kuro_01_050#0,"""……그러니까 그 고양이에게는<br>다가가지 않을래.<br>또 도망가면 슬플 테니까."""
11_voice_NPC_5019_101#0,"""……안녕.<br>마침 잘 왔어."""
Marlur_favs_before_020#0,"""……이거, 줄게."""
Marlur_favs_before_030#0,"""……내가 갖고 있어도<br>쓰지 않을 것 같으니까, 괜찮다면."""
Marlur_favs_after_010#0,"""……늘 이야기 상대가<br>되어 주니까, 그 답례야."""
Marlur_favs_after_020#0,"""앞으로도 잘 부탁해."""
Marlur_favs_present_010#0,"""마루에게서 『그란츠』를 받았습니다."""
Marlur_favs_present_020#0,"""마루에게서 『신시사이저』를 받았습니다."""
Marlur_favs_present_030#0,"""마루에게서 『신시사이저』를 받았습니다."""
Marlur_favs_present_040#0,"""마루에게서 『기・그란츠』를 받았습니다."""
Marlur_favs_present_050#0,"""마루에게서 『신시사이저』를 받았습니다."""
Marlur_favs_present_060#0,"""마루에게서 『레스타』를 받았습니다."""
Marlur_favs_present_070#0,"""마루에게서 『신시사이저』를 받았습니다."""
Marlur_favs_present_080#0,"""마루에게서 『안티』를 받았습니다."""
Marlur_favs_present_090#0,"""마루에게서 『신시사이저』를 받았습니다."""
Marlur_favs_present_100#0,"""마루에게서 『신시사이저』를 받았습니다."""
Marlur_favs_present_add_001#0,"""마루에게서 『<%skit_text>』를 받았습니다."""
11_voice_NPC_5019_101#1,"""무슨 일이야?<br>……밸런타인 선물?"""
Oku_01_020#0,"""보통은 초콜릿이지만……<br>단 건 두뇌 활동을 도우니까<br>상대가 포스라면 좋을 것 같아."""
Oku_01_030#0,"""상대가 헌터라면……<br>쓴맛이어도 괜찮겠네.<br>의외로 단 걸 좋아하려나……"""
11_voice_NPC_5019_104#0,"""……어려운 질문이네.<br>헌터라면 맛보다 양일지도 몰라.<br>많이 만들어 보면 어때?"""
skit01_010#0,"""……포스와 텍터를 추천해.<br>……관심 있으면 나한테 물어봐."""
skit01_020#0,"""……로드, 탈리스, 완드에 관해서라면<br>대답해 줄 수 있으니까."""
11_voice_NPC_5019_100#0,"""……테크닉은 차지해서<br>쓰는 편이 박력 있고 좋아.<br>……무엇보다 기분도 좋고."""
11_voice_NPC_5019_102#0,"""……포스가 약하다는 사람은<br>사용법을 모를 뿐이야.<br>……아깝다고 생각해."""
11_voice_NPC_5019_100#1,"""……테크닉에는 전문 기술이 필요해.<br>포스 계열 클래스가 테크닉을<br>가장 효율적으로 쓸 수 있어."""
11_voice_NPC_5019_101#2,"""……약점 속성 분석 정보는<br>아크스 쉽에서 보내 줘.<br>그 정보만 있으면 든든해."""
11_voice_NPC_5019_104#1,"""……다커의 행동 원리는 불명.<br>협상에 응할 기색도 없어.<br>그래서 무서운 거야."""
11_voice_NPC_5019_105#0,"""……포스는 포톤을 방출하니까<br>몸을 지키는 포톤이 줄어들어.<br>내구력이 낮은 건 그 때문이야."""
11_voice_NPC_5019_104#2,"""……테크닉의 약점을 꼽자면<br>차지할 때의 빈틈과 PP의 한계야.<br>조심해서 움직이면 괜찮지만."""
11_voice_NPC_5019_104#3,"""……포스가 되면<br>가장 먼저 무엇을 단련해야 하냐고?<br>공격을 피하는 능력 아닐까."""
11_voice_NPC_5019_100#2,"""……포스 말고 다른 클래스가<br>되고 싶다고 생각한 적은 없어.<br>나한테는 이게 딱 맞아."""
Marlur_09_020#0,"""……천성과 적성이 맞았으니까<br>그게 바로 타고난 재능인 거야.<br>……분명 그래."""
11_voice_NPC_5019_100#3,"""……후우, 잠깐 쉬는 중이야.<br>포스는 체력이 다른 클래스보다 약해서<br>피로를 남기면 안 돼."""
Alice_01_10#0,"""……내가 포스 적성에<br>눈을 떴을 때의 일?<br>별난 걸 묻네. 말해 줄게."""
Alice_01_20#0,"""……어릴 때 큰 사고를 당했어.<br>그때 모르는 남자아이가 날 감싸다가<br>잔해에 깔렸어."""
Alice_01_30#0,"""……즉사해도 이상하지 않은<br>상황이었는데도 그 아이는<br>기적적으로 무사했어."""
Alice_01_40#0,"""……하지만 사고 충격으로<br>기절해 있었기에, 나는 그 아이가<br>눈을 뜨게 해 달라고 기도했어."""
Alice_01_50#0,"""……그러자 내게서 나온 빛이<br>그 아이의 몸으로 모여들었어."""
Alice_01_60#0,"""……다음 순간에는<br>아무 일도 없었던 것처럼<br>그 아이가 눈을 떴어."""
Alice_01_70#0,"""……그게 내가 처음으로<br>테크닉을 쓴 순간이었던 것 같아.<br>적성을 깨달은 것도 그때였고."""
11_voice_NPC_5019_105#1,"""……포스는 강하지만, 쉽게 무너져.<br>그 점을 어떻게 보완할지 생각해야 해."""
11_voice_NPC_5019_105#2,"""……혼자 싸우는 데도 한계가 있어.<br>협력하는 방법을 생각해야겠지."""
11_voice_NPC_5019_101#3,"""……전투기술 대회구나.<br>내 힘보다는 누구와 짝을 이루느냐에<br>따라 결과가 달라질 것 같아."""
11_voice_NPC_5019_101#4,"""……상황은 늘 변하고 있어.<br>그러니까 우리도 그에 맞춰<br>대응할 수 있어야 해."""
11_voice_NPC_5019_104#4,"""……물이 많은 행성이라<br>해왕종도 수중 생활에 적응했어."""
Marlur_mb13_020#0,"""……하지만 그건 진화를 위해서일까?<br>아니면 다른 이유가 있는 걸까."""
11_voice_NPC_5019_104#5,"""……요즘 들어 본 적 없는<br>다커가 나타나고 있지 않아?"""
Marlur_mb14_020#0,"""……이제 와서 진화한 걸까?<br>아니면 다른 이유가 있는 걸까."""
11_voice_NPC_5019_105#3,"""……왜 이러지.<br>마음이 너무 답답해."""
Marlur_mb16_020#0,"""……네 잘못은 아니지만<br>지금은 잠깐 혼자 있고 싶어."""
11_voice_NPC_5019_104#6,"""……미안해.<br>그 말밖에 못 하는 나를 용서해 줘.<br>……정말 미안해."""
11_voice_NPC_5019_104#7,"""……이미 너무 늦은 걸지도 몰라.<br>어떻게 해야 하지……"""
Marlur_mb18_020#0,"""……아, 네 이야기가 아니야.<br>신경 쓰지 마. 미안해."""
11_voice_NPC_5019_104#8,"""……아, 미안해.<br>잠깐 생각할 게 있어서……"""
Marlur_mb19_020#0,"""……신경 쓰지 마.<br>아무것도 아니야."""
Marlur_mb20_010#0,"""……<%me>.<br>폐를 끼쳐서, 미안해.<br>이제 괜찮아. 전부 해결됐으니까."""
11_voice_NPC_5019_100#4,"""……여러 이야기를 들어 줘서<br>고마워."""
Marlur_mb21_010#0,"""……전에는 헌터를<br>편견 어린 시선으로 봤던 것 같아."""
Marlur_mb21_020#0,"""……하지만 지금은 생각이 조금 달라.<br>모든 클래스에는 장단점이 있고<br>그래서 협력이 중요한 것 같아."""
11_voice_NPC_5019_100#5,"""……그걸 깨닫게 해 준<br>너한테 정말 감사하고 있어.<br>고마워."""
11_voice_NPC_5019_100#6,"""……조금씩이지만 포스 이외의<br>클래스도 다시 생각해 보고<br>공부하고 있어."""
Marlur_mb22_020#0,"""……다른 클래스를 잘 알게 되면<br>지금보다 성장할 수 있지 않을까.<br>그렇게 생각했어."""
Marlur_mb22_030#0,"""……그래서 지금은 시야도 넓히고<br>함께 싸울 기회도 늘리는 등<br>여러 가지를 해 보고 있어."""
11_voice_NPC_5019_102#1,"""……말로 설명하기 어렵지만<br>왠지 마음이 놓이지 않아."""
11_voice_NPC_5019_104#9,"""……불길한 분위기라고 해야 하나.<br>조금 안 좋은 예감이 들어."""
Marlur_mb23_030#0,"""……너도 조심해.<br>무리하는 경향이 있는 것 같으니까."""
11_voice_NPC_5019_100#7,"""……<%me>.<br>……사정은 들었어."""
Marlur_mb23_after_020#0,"""……네가 어떻게 할지는 모르겠어.<br>그래도 내가 도울 일이 있다면<br>무엇이든 말해 줘."""
Marlur_mb23_after_030#0,"""……너한테 폐를 많이 끼쳤어.<br>그러니까 이번에는 내가 갚을 차례야.<br>사양하지 말고 말해 줘."""
11_voice_NPC_5019_100#8,"""……정말 다행이야.<br>……이번 결과는 나도 기뻐."""
Marlur_mb24_after_020#0,"""……모두 힘을 합쳐 싸우면<br>큰 어려움도 이겨 낼 수 있어.<br>그걸 실감했어."""
11_voice_NPC_5019_100#9,"""……막연한 느낌이지만<br>모두 한마음으로 싸운 뒤부터<br>생각이 조금씩 달라진 것 같아."""
Marlur_mb25_020#0,"""……더 긍정적으로 변했다고 할까.<br>분명한 방향이 보였다고 할까.<br>아무튼 그런 느낌이 들어."""
Marlur_mb25_030#0,"""……좋은 방향으로 변할 것 같아.<br>나도 포스로서 더 강해지도록<br>열심히 해 볼 생각이야."""
11_voice_NPC_5019_100#10,"""……아.<br><%me>……<br>돌아왔구나."""
st01_020#0,"""……몸은 이제 괜찮아?<br>콜드 슬립의 후유증이나……<br>기억 장애가 있을지도 모른다던데."""
st01_030#0,"""……그래도 이제 괜찮은 거구나.<br>정말 다행이야."""
11_voice_NPC_5019_100#11,"""……또 바빠지기 시작했네.<br>너, 역시 문제를 불러오는<br>재능이 있는 것 아닐까."""
st01_020#1,"""……문제를 미리 찾아내는 거라고<br>생각할 수도 있겠지만."""
11_voice_NPC_5019_100#12,"""……지구의 에너미는<br>다른 행성과 비교하면 특이해."""
st01_020#2,"""……기계처럼 생기기도 하고<br>동물 같은 모습이기도 하고……<br>무엇보다 실감이 나지 않아."""
11_voice_NPC_5019_100#13,"""……처음에는 당황했지만<br>서머너의 펫과 함께 싸우는 것도<br>점점 익숙해지고 있어."""
st01_020#3,"""……물론<br>아직 완벽하다고 할 수는 없어.<br>……그래도 노력하고 있어."""
11_voice_NPC_5019_100#14,"""……에테르와 포톤.<br>둘은 서로 비슷한 것 같아."""
st01_020#4,"""……자세한 건 모르지만<br>포톤 같은 존재가 또 있다니<br>신기해."""
st01_010#0,"""……적은 의지를 지닌 자들의 조직.<br>그런데 그들이 아크스와<br>적대하는 이유는 뭘까."""
st01_010#1,"""……다커도 아크스 쉽을 공격했지만<br>샵 에어리어를 직접 노릴 줄은<br>예상하지 못했어."""
st01_020#5,"""……사람을 상대하면 계략도 쓰니까<br>다커보다 더 힘들구나."""
11_voice_NPC_5019_104#10,"""……환창종이 다커의 힘을 쓰다니.<br>보통 다커보다 상대하기<br>더 힘들 것 같아."""
st01_020#6,"""……적의 목적과 생각을<br>좀 더 분석하지 않으면 위험할지도 몰라."""
sq00_010#0,"""……힘내자.<br>내가 해 줄 수 있는 말은 그 정도야.<br>오자와 함께 온 힘을 다해 지원할게."""
11_voice_NPC_5019_100#15,"""……너는 반드시<br>돌아오는 사람이니까.<br>그다지 걱정하지 않았어."""
sq02_010#0,"""……다커의 기세는 확실히<br>약해진 것 같아."""
sq02_020#0,"""……그래도 무슨 일이 생길지 몰라.<br>만일의 사태에 대비해야 해."""
sq13_010#0,"""……종말의 여신 시바.<br>자세한 건 모르지만<br>그 힘만큼은……잘 알겠어."""
11_voice_NPC_5019_104#11,"""【심원의 어둠】만 처리하면<br>평화가 올 줄 알았는데……<br>그렇지는 않은 모양이네."""
11_voice_NPC_5019_104#12,"""……그토록 강한 힘을 드러내며<br>중심부까지 침입했는데도<br>우리는 알아차리지 못했어."""
ep6_sq00_02#0,"""……그래도 모두 절망하지 않았어.<br>지금껏 네가 보여 준 모습 덕분이야.<br>포기하지 않는 너를 봐 왔으니까."""
ep6_sq00_03#0,"""……우리도 포기하지 않을 거야.<br>그러니까 서로 해야 할 일을<br>해내자."""
11_voice_NPC_5019_103#0,"""……이건 우리의 책임이야.<br>우리가 무능해서 소중한 것을<br>잃고 말았어……"""
ep6_sq01_02#0,"""……하지만 아직 희망은<br>남아 있는 거지?<br>네 눈은 아직 살아 있어."""
ep6_sq01_03#0,"""……그렇다면 우리는 거기에 걸겠어.<br>무엇이든 할게. 말해 줘."""
ep6_sq02_01#0,"""……다행이야.<br>정말 다행이야."""
ep6_sq02_02#0,"""……소중한 것들을<br>두 번 다시 잃지 않을 거야.<br>……그러기 위해 힘낼게."""
11_voice_NPC_5019_103#1,"""……시바는 위험해.<br>우리를 간단히 짓뭉갤 수 있는데도<br>천천히……괴롭히며 즐기려 해."""
ep6_sq02_01_02#0,"""……오만해.<br>하지만 오만은 과신을 불러.<br>우리에게도 기회는 있어."""
ep6_sq03_02_01_01#0,"""……전에도<br>위험한 순간은 있었어.<br>하지만 지금이 가장 큰 위기야."""
ep6_sq03_02_01_02#0,"""……그러니까 지금 할 수 있는 일을<br>온 힘을 다해 해 나갈 생각이야."""
text01#0,"""……수고했어.<br>몸은 괜찮아?"""
11_voice_NPC_5019_100#16,"""……정말 이겨서 다행이야.<br>포기하지 않아서 다행이고.<br>물론 네 덕분이지만."""
text03#0,"""앞으로 무슨 일이 생길지는 몰라.<br>그래도……천천히 나아가자."""
