11_voice_NPC_5026_100#0,"""¡Hola hola! Las cosas están tan ocupadas como siempre, sí, lo son."""
Kuro_01_020#0,"""Hmm hmm... ¿La opinión de Lisa sobre esa criatura gato?"""
Kuro_01_030#0,"""En realidad, Lisa no está muy segura, ¿Sabes?"""
Kuro_01_040#0,"""Pero si se unía a Lisa para intimidar a algunos enemigos, ella podría pensar en algo, ¿Sabes?"""
Kuro_01_050#0,"""Sería bueno si pudieras transmitir eso a la criatura del gato, ¿Sabes? De todos modos, ¡Adiós,adiós,adiós,adiós!"""
11_voice_NPC_5026_106#0,"""あらあらおやおや<br>どうもどうもこんにちわ。<br>リサにご用ですかあ？"""
Hyui_01_020#0,"""新人への指導方法、ですかあ？<br>リサはですねえ、何よりも楽しんで<br>学ぶことが大事だと思いますねえ。"""
Hyui_01_030#0,"""ただただ、楽しんで<br>敵さんの痛がる所をよおく見て<br>狙って撃てばいいんですよお。"""
11_voice_NPC_5026_100#1,"""ふふっ……楽しいですねえ。<br>参考になれば嬉しいですよお。<br>ではではでは。"""
skit01_010#0,"""Ranger y Gunner son agradables, ¿Sabes? Te permiten disparar, disparar y disparar para poder matar MUCHOS de esos molestos enemigos, ¿Sabes?"""
skit01_020#0,"""Rifles, Launchers, Twin Machineguns... Todos y cada uno son preciosos, ¿Sabes? Jeje. Jejeje Hehehehehe."""
11_voice_NPC_5026_101#0,"""Oh, ¡Hola! ¡Has regresado!"""
Risa_favs_before_020#0,"""Lisa está feliz, así que te dará esto, ¿Sabes?"""
Risa_favs_before_030#0,"""Lo tomarás, ¿No?"""
Risa_favs_after_010#0,"""Lisa no necesita ningún agradecimiento. Ella no sabría qué hacer con eso."""
Risa_favs_after_020#0,"""Por favor, use eso bien!... Y sobrevive el tiempo suficiente para que nos veamos de nuevo."""
Risa_favs_after_030#0,"""Hehe. Hehehehehehe."""
Risa_favs_present_010#0,"""Ha recibido \""Synthesizer\""  de Lisa."""
Risa_favs_present_020#0,"""Ha recibido \""Synthesizer\""  de Lisa."""
Risa_favs_present_030#0,"""Ha recibido \""Synthesizer\""  de Lisa."""
Risa_favs_present_040#0,"""Ha recibido \""Sneak Shooter\""  de Lisa."""
Risa_favs_present_050#0,"""Ha recibido \""Synthesizer\""  de Lisa."""
