line01_01#0,"""Liu Lin"""
line01_02#0,"""Rossa"""
line01_03#0,"""Oranje"""
line01_04#0,"""Xiera"""
line02_01#0,"""40 N-Meseta"""
line02_02#0,"""30 N-Meseta"""
line02_03#0,"""50 N-Meseta"""
line02_04#0,"""60 N-Meseta"""
line03_01#0,"""The thousands of lives we fought for"""
line03_02#0,"""The words that could not be spoken"""
line03_03#0,"""In a somber world echoes a new sound"""
line03_04#0,"""RARE☆DROP☆COME☆ON! Yeah!!"""
line04_01#0,"""Taubel"""
line04_02#0,"""Camellio"""
line04_03#0,"""Ramul Voks"""
line04_04#0,"""Pippotan"""
