un_054020_0001#0,"""A.P.241/10/27"""
un_054020_0010#0,"""……기다려!<br>움직이지 말고 그대로 있어."""
un_054020_0020#0,"""저건 디아와…… 제노 녀석이군.<br>아주 즐거워 보이잖아……"""
un_054020_0030#0,"""신경 쓰여?"""
un_054020_0040#0,"""상관없어"""
un_054020_0050#0,"""흥, 웃기는 소리 하지 마!<br>제노 자식이 무슨 말을 했는지<br>모른다는 게 열받을 뿐이야!"""
un_054020_0060#0,"""상관없을 리가 있냐!<br>제노 자식이 이상한 말을<br>불어넣었으면 어쩌려고!"""
un_054020_0070#0,"""……이야기는 끝난 모양이군.<br>잠깐 그 몸 좀 빌리자!"""
un_054020_0080#0,"""무, 무슨 일이신가요.<br><%me> 님?"""
un_054020_0090#0,"""어이.<br><%me> 쪽에서 알아서 수습해."""
un_054020_0100#0,"""저기…… <%me> 님?<br>괜찮으신가요?"""
un_054020_0110#0,"""……후훗, 재미있는 분이시네요."""
un_054020_0120#0,"""겟템하르트 님도 저렇게<br>저를 빤히 바라보실 때가 있어서<br>……왠지 그리운 기분이 들었어요."""
un_054020_0130#0,"""마침 조금 전 제노 씨와도<br>겟템하르트 님과 언니 이야기를<br>하고 있었으니 더 그랬나 봐요."""
un_054020_0140#0,"""겟템하르트 이야기?"""
un_054020_0150#0,"""언니 이야기?"""
un_054020_0160#0,"""네, 제가 모르는 두 사람 이야기를<br>가끔 들려주시거든요."""
un_054020_0170#0,"""구체적으로 어떤 이야기인지는……"""
un_054020_0180#0,"""……비밀로 해 둘게요."""
un_054020_0190#0,"""겟템하르트 님이 들으시면<br>화를 내실 만한 이야기거든요.<br>아니, 부끄러워하실까요."""
un_054020_0200#0,"""그러니 오늘은 왠지<br>분위기가 닮아 보이는<br>눈앞의 분께도 비밀이에요."""
un_054020_0210#0,"""그런 뜻이에요.<br>……그럼, 다음에 뵐게요."""
un_054020_0220#0,"""……제노 자식!<br>디아한테 무슨 말을 불어넣은 거야!"""
un_054020_0230#0,"""어이!<br>당장 그 녀석을 박살 내러 간다!<br>어서 그 몸을 빌려줘!"""
