un_055020_0010#0,"""아, <%me> 왔구나."""
un_055020_0020#0,"""여어, 파트너.<br>마침 마토이와 만나서<br>옛날 얘기 중인데, 같이 어때?"""
un_055020_0030#0,"""후훗, 이렇게<br>셋이 모이니까 왠지 그립다."""
un_055020_0040#0,"""지금까지 별일이 다 있었는데<br>그 수료 임무에서 아직 3년 정도밖에<br>안 지났네."""
un_055020_0050#0,"""그래도 나는<br>두 사람이 구해 줬던 일을<br>어제 일처럼 떠올릴 수 있어."""
un_055020_0060#0,"""그 뒤로 시온 씨 일도 있었고<br>내게도 여러 일이 있었지……<br>응, 전부 똑똑히 기억해."""
un_055020_0070#0,"""유크 누나를 찾으려고 아크스가 되고<br>온갖 일에 휘말리고……<br>파란만장하다는 말로도 부족하네."""
un_055020_0080#0,"""유크 누나는 다크 펄스였고<br>마토이랑 파트너도 비슷한 처지가<br>될 뻔했고……"""
un_055020_0090#0,"""……이렇게 정리해 보니<br>내가 재앙이라도 몰고 다니는<br>기분이 드는데."""
un_055020_0100#0,"""그, 그렇지 않아!<br>유크리타 씨도 무사히<br>돌아와 줬잖아!"""
un_055020_0110#0,"""그래.<br><%me> 덕분에."""
un_055020_0120#0,"""나도 그래.<br><%me> 덕분에<br>돌아올 수 있었어."""
un_055020_0130#0,"""아직 한 사람이 부족해"""
un_055020_0140#0,"""모두가 노력한 결과야"""
un_055020_0150#0,"""……그렇지, 파트너.<br>아직 끝난 게 아니니까."""
un_055020_0160#0,"""……나도 같은 마음이야.<br><%me> 생각과 다르지 않아.<br>반드시 구해 내야지."""
un_055020_0170#0,"""그렇게 겸손 떨지 마.<br>우리는 파트너에게<br>정말 큰 은혜를 입었으니까."""
un_055020_0180#0,"""그러니 파트너가 하려는 일이라면<br>온 힘을 다해 도울 생각이야.<br>못 미더울지도 모르지만."""
un_055020_0190#0,"""그나저나 나와 파트너는<br>동기였는데, 지금은 처지에<br>꽤 큰 차이가 벌어졌네."""
un_055020_0200#0,"""한쪽은 아크스에<br>둘뿐인 수호휘사.<br>다른 한쪽은 평범한 아크스니까."""
un_055020_0210#0,"""……직함은 달라졌지만<br>우리는 예나 지금이나 그대로야.<br>함께한 추억도 사라지지 않고."""
un_055020_0220#0,"""아, 추억하니까……<br>노래를 부르게 됐던 그때 일<br>기억나?"""
un_055020_0230#0,"""아, 카스라 씨한테 속아서<br>한자리에 모였던 때 말이지!"""
un_055020_0240#0,"""그때 마토이는<br>아직 아크스가 되기 전이었나?"""
un_055020_0250#0,"""응, 맞아.<br>마침 아크스가 되려고 검사랑<br>시험을 받던 중이었어."""
un_055020_0260#0,"""<%me> 쪽도 기억하지?<br>그때 정말 재미있었어.<br>모두가 한곳에 모였잖아."""
un_055020_0270#0,"""테오도르는<br>정말 엄청난 노래를 불렀어.<br>다음에 놀려 줘, 파트너."""
