un_057050_0001#0,"""A.P.241/11/18"""
un_057050_0010#0,"""……역시 안 되겠다!<br>미안, 에코. 가서 말해 줘!"""
un_057050_0020#0,"""왜 이럴 때<br>배짱이 없어지는 건데!"""
un_057050_0030#0,"""여어, <%me> 왔구나.<br>뭘 하고 있냐고?<br>소식을 알리러 다니는 중이야."""
un_057050_0040#0,"""아핀과 마토이한테도<br>방금 알리고 왔어."""
un_057050_0050#0,"""놀라게 해 주려고 했는데<br>별로 놀라지도 않더라."""
un_057050_0060#0,"""축하해 주긴 했지만."""
un_057050_0070#0,"""뭐, 아는 사람들한테는<br>예의상 직접 소식을 알리러<br>다니는 중인데……"""
un_057050_0080#0,"""그 애한테는 어떻게 말해야 하나 해서."""
un_057050_0090#0,"""멜란디아라고 자기를 소개하게<br>됐지만 아직 마음에 남은 게<br>있을 테니까……"""
un_057050_0100#0,"""그래도 아무 말도 안 했다가<br>다른 사람에게 듣게 하는 것도<br>좋지 않으니…… 어쩐다."""
un_057050_0110#0,"""역시 마음먹고 말할 수밖에 없지.<br>나쁜 일도 아닌데 당당하게."""
un_057050_0120#0,"""알고 있어, 그런 건.<br>그러니까 에코, 가서 말해 줘."""
un_057050_0130#0,"""아니, 갈 거면 둘이 같이 가야지!"""
un_057050_0140#0,"""나를 보면 디아는<br>겟템하르트를 떠올려!<br>그 상태에서 어떻게 소식을 말해?"""
un_057050_0150#0,"""그건 내가 가도 똑같아!<br>결국 둘 다 떠올릴 테니까!"""
un_057050_0160#0,"""저기, 두 분.<br>그렇게 지나치게 조심스러워하시면<br>오히려 제가 상처받는데요……"""
un_057050_0170#0,"""우왓!?"""
un_057050_0180#0,"""메, 멜란디아!<br>언제부터 거기 있었어?"""
un_057050_0190#0,"""그렇게 시끄럽게 떠드셨으니<br>누구라도 알아챘을 거예요."""
un_057050_0200#0,"""무슨 소식을 전할 게 있으시다고요?"""
un_057050_0210#0,"""두 분이<br>결혼하셨다는 이야기인가요?"""
un_057050_0220#0,"""어, 어떻게 알았어……!"""
un_057050_0230#0,"""알고 말고 할 것도 없이<br>이제야 하시냐는 생각이 들어요.<br>드디어라고 해야 할까요?"""
un_057050_0240#0,"""만약 이 자리에 겟템하르트 님이<br>계셨다면……"""
un_057050_0250#0,"""「얼빠진 꼴 보이지 마라」라고<br>말씀하지 않으셨을까 싶어요."""
un_057050_0260#0,"""……그렇겠지.<br>그 녀석이라면 입을 열자마자 그 말부터 할 거야."""
un_057050_0270#0,"""그 뒤에 제노가 달려드는 모습까지<br>쉽게 상상되네."""
un_057050_0280#0,"""겟템하르트 님을<br>신경 쓰지 말라는 건 무리겠죠."""
un_057050_0290#0,"""그러니 잊지 말아 주세요.<br>모두가 기억해 주신다면<br>그분은 사라지지 않으니까요."""
un_057050_0300#0,"""제노 씨, 에코 씨.<br>결혼을 축하드립니다."""
un_057050_0310#0,"""그래.<br>고맙다, 디아."""
un_057050_0320#0,"""고마워, 멜란디아."""
un_057050_0330#0,"""다 들린다고.<br>……얼빠져 있지 마라, 멍청이들아."""
name01#0,"""？？？"""
name02#0,"""？？？"""
