un_057060_0001#0,"""A.P.241/11/12"""
un_057060_0010#0,"""속보! 속보입니다!<br>최근엔 애매한 정보만 이어졌지만<br>오늘은 아주 좋은 소식!"""
un_057060_0020#0,"""무려 무려, 전부터<br>「이제 그만 결혼해라」라고<br>생각했던 그 두 사람!"""
un_057060_0030#0,"""그래! 제노 씨와 에코 씨가<br>드디어, 드디어 드디어 드디어!<br>결혼하신답니다!"""
un_057060_0040#0,"""알고 있어"""
un_057060_0050#0,"""경사스러운 일이네"""
un_057060_0060#0,"""뭐!?<br>어떻게 알았어!?"""
un_057060_0070#0,"""에코 씨가 말했잖아……"""
un_057060_0080#0,"""어라, 생각보다 반응이 약하네?"""
un_057060_0090#0,"""<%me> 씨는<br>이미 알고 있다는 뜻이잖아……"""
un_057060_0100#0,"""결혼 자체가 드문 일은 아니지만<br>그 두 분…… 특히 제노 씨는<br>육망의 한 분이니까요."""
un_057060_0110#0,"""말하자면 유명한 두 사람의 결혼이야!<br>이런 소식을 전할 수 있다니<br>정보상으로서 기쁘지이!"""
un_057060_0120#0,"""아크스는 아무래도 싸움이 중심이라<br>가정을 꾸린다는 생각에 이르기 어려우니<br>두 분의 결혼은 의미가 큽니다."""
un_057060_0130#0,"""나도 언젠가 저렇게……<br>하는 생각이 들거든!<br>으음, 부러워!"""
un_057060_0140#0,"""파티도 그런 바람이 있어?"""
un_057060_0150#0,"""물론이지! 나도 여자라고!<br>장래 희망은 신부!<br>상대는 언제든 모집 중입니다! 네!"""
un_057060_0160#0,"""누구한테 알리는 거야……?"""
un_057060_0170#0,"""관심 없는 척하지만<br>어릴 적 티아의 꿈도<br>「신부」였잖아."""
un_057060_0180#0,"""그, 그런 걸 밝히지 마, 바보 언니!"""
un_057060_0190#0,"""지금까지 파티가 전해 드린<br>티아의 기밀 정보였습니다! 그럼 이만!"""
un_057060_0200#0,"""죄송합니다. 저도 이만 가 볼게요!"""
un_057060_0210#0,"""거기 서, 바보 언니!<br>그 이야기 퍼뜨리면 지옥을 보여 줄 거야!"""
name01#0,"""？？？"""
name02#0,"""？？？"""
