un_054010_0001#0,"""A.P.241/10/21"""
un_054010_0010#0,"""……!<br>겟템하르트 님!?"""
un_054010_0020#0,"""아, <%me> 님……?<br>……아뇨, 죄송합니다.<br>아무것도 아닙니다."""
un_054010_0030#0,"""왠지 <%me> 님의<br>모습이 잠깐 겟템하르트 님처럼<br>보여서…… 신경 쓰지 마세요."""
un_054010_0040#0,"""……어이.<br>쓸데없는 말 하지 마라."""
un_054010_0050#0,"""저기…… <%me> 님.<br>무슨 일 있으신가요?"""
un_054010_0060#0,"""겟템하르트를 만나고 싶어?"""
un_054010_0070#0,"""……아무것도 아니야"""
un_054010_0080#0,"""……네.<br>이룰 수 있는 소원이라면요."""
un_054010_0090#0,"""……신경 써 주셔서<br>감사합니다.<br>괜찮아요. 문득 떠올랐을 뿐이니까요."""
un_054010_0100#0,"""만약, 정말 만약 겟템하르트 님을<br>다시 만날 수 있다면……"""
un_054010_0110#0,"""제가 언니…… 멜폰시나인 척했기에<br>차마 하지 못했던 말.<br>그 말을 전하고 싶습니다."""
un_054010_0120#0,"""다음에 만날 수 있다면 그때야말로<br>제 모습으로…… 멜란디아로서<br>이야기할 수 있을 테니까요."""
un_054010_0130#0,"""……아뇨, 아마 안 되겠네요.<br>막상 만나면 너무 긴장해서<br>아무 말도 못 할 것 같아요."""
un_054010_0140#0,"""이제 만날 수 없다는 걸 아니까<br>비로소 다질 수 있는 각오도 있다고 생각해요.<br>제 경우가 바로 그렇습니다."""
un_054010_0150#0,"""꿈은 꿈이기에 더욱 간절한 법이니까요.<br>그 마음을 버팀목 삼아 지금을 살아갈 뿐입니다."""
un_054010_0160#0,"""그분이 마지막으로 남겨 주신 말.<br>그 말을 기억하고 있으니……<br>조금 쓸쓸하지만 괜찮습니다."""
un_054010_0170#0,"""아, 죄송합니다.<br>왜 이런 이야기를 꺼냈을까요.<br>……갑자기 옛일이 그리워져서요."""
un_054010_0180#0,"""긴 이야기를 들어주셔서 죄송합니다.<br>그럼, 다음에 뵙겠습니다."""
un_054010_0190#0,"""……쳇.<br>성가신 걸 보여 주고 앉았군.<br>참견이라도 한 거냐, 어?"""
