linewindow#0,"""The Weapon Palette"""
text00#0,"""The Weapon Palette"""
text01#0,"""Let's learn about the Weapon Palette"""
text02#0,"""You can add a combination of weapons and photon arts/techniques to the weapon palette to switch equipment easily.<br><br>Move palette up: <%PaletteReverse><br>Move palette down: <%PaletteForce>"""
text03#0,"""Use <%Decide> to equip a weapon and finish switching the weapon palette."""
text04#0,"""The Weapon Palette has 2 Button mode and 3 Button mode.<br><br>In 2 Button mode, the Photon Arts and Techniques you can set vary depending on the weapon type.<br><br>For striking weapons, you can set Photon Arts to be used on the first, second and third parts of your combo.<br><br>Shooting weapons can set up to 3 Photon Arts, and teching weapons can set up to 4 Techniques."""
text05#0,"""In the case of 3 Button mode, up to 6 Photon Arts and Techniques can be added to your Weapon Palette.<br><br>It allows for custom combinations with a focus on a manual play<br>style."""
11_voice_NPC_5003_104#0,"""Hey, you wanna join me on this? It would really help me out if you came along."""
text102#0,"""I may be an ARKS member now, but I'm still on the bottom rung of the ladder."""
text103#0,"""It's not like I'm itching to fight, but we should really master all the techniques we can, so we'll be ready when it counts."""
text104#0,"""Anyway, it's time to get started. Switching between weapons is about as basic as it gets."""
text105#0,"""I know, they taught us this before. I just hope I can remember how it goes."""
