name_7425#0,"""Адила"""
ssn_012030_0001#0,"""Добро пожаловать в Централ-Сити!"""
ssn_012030_0002#0,"""Я рада подружитсья с новыми людьми!<br>Давай приложим все силы вместе!"""
ssn_012030_0101#0,"""Так ты тот(та), о ком говорил Бурудар! Послушай меня.<br>Это же информация, которую можно будет использовать в бою?"""
ssn_012030_0102#0,"""Верно... Что ж, знаете ли вы о<br>“особых способностях” (абилках) снаряжения?"""
ssn_012030_0103#0,"""Если не знаете, дайте знать!"""
ssn_012030_0104#0,"""Хорошо! Тогда, слушай меня внимательно!"""
ssn_012030_0105#0,"""“Особые способности” (абилки) - это приращение снаряжению способностей."""
ssn_012030_0106#0,"""В следующий раз внимательно проверяйте информацию о снаряжении."""
ssn_012030_0107#0,"""Кроме того... эти “особые способности” (абилки) можно добавить<br>на то же снаряжение или заменить другой способностью (абилкой)."""
ssn_012030_0108#0,"""Настройка снаряжения производится в “Лаборатории предметов”,<br>но вам понадобится “Капсула с особой способностью”."""
ssn_012030_0109#0,"""Я дам вам таких! Возьмите и их и отправляйтесь в лабораторию!"""
ssn_012030_0201#0,"""Да? Если хотите знать, возвращайтесь снова!"""
