un_025150_0010#0,"""안녕, <%me>.<br>정신없이 바빠서 미안해."""
un_025150_0020#0,"""포토너… 아니, 루서 때문에<br>아크스 내부 조직은 엉망진창.<br>재건하느라 엄청 바빠."""
un_025150_0030#0,"""우르크는 그런 나를 돕고 있는 거야.<br>이쪽 사정도 알고 있고…<br>무엇보다 놀라거나 당황하지 않으니까."""
un_025150_0040#0,"""뭐, 내 주변에서는 요즘<br>충격적인 일만 일어나서<br>익숙해졌다고 해야 하나, 뭐랄까…"""
un_025150_0050#0,"""…그런데 말이야, 샤오.<br>이거 공표해도 괜찮아?"""
un_025150_0060#0,"""아크스와 포토너의 일이라든가<br>숨겨져 있던 역사와 사실의 공표라든가<br>그야말로 대혼란일 것 같은데."""
un_025150_0070#0,"""대혼란이면 어때.<br>모두에게 생각하게 하려고<br>공표하는 거니까."""
un_025150_0080#0,"""원래 아크스는<br>포토너가 만들어 낸<br>다커와 싸우기 위한 장기말이야."""
un_025150_0090#0,"""그건 부정해도 변하지 않는 사실이야.<br>뭐, 그렇게 말하면<br>나도 시온이 만든 존재니까."""
un_025150_0100#0,"""태생은 문제가 아니야.<br>아크스에게 필요한 건 앞으로 어떻게 하느냐야."""
un_025150_0110#0,"""내부의 고름은 다 짜냈어.<br>슬슬 아크스는 본래의 목적에<br>눈을 돌려야 해."""
un_025150_0120#0,"""아크스의 목적이란 게<br>다크 펄스를 쓰러뜨리는 거야?"""
un_025150_0130#0,"""그것만으로 끝나지 않아.<br>더 나아가, 【심원의 어둠】이라<br>불리는 존재의 완전 소멸."""
un_025150_0140#0,"""그것이 바로 아크스의…<br>포톤을 다루는 이들에게 주어진<br>최대의 목적이야."""
un_025150_0150#0,"""【심원의 어둠】?<br>그건 다크 펄스보다도<br>위험한 녀석이야?"""
un_025150_0160#0,"""다크 펄스를 만들어 낸 존재라고<br>말하면 이해될까?"""
un_025150_0170#0,"""…한 번에 이해됐어."""
un_025150_0180#0,"""【심원의 어둠】이 있는 한<br>다커는 결코 사라지지 않아."""
un_025150_0190#0,"""하지만 반대로 말하면 【심원의 어둠】만<br>어떻게든 처리하면 다커도<br>다크 펄스도…라는 거야."""
un_025150_0200#0,"""그럼 얼른 그<br>【심원의 어둠】이라는 걸 쓰러뜨려야지!<br>그래서 그 녀석은 어디 있어?"""
un_025150_0210#0,"""몰라."""
un_025150_0220#0,"""응?"""
un_025150_0230#0,"""아니아니, 나를 노려봐도 곤란해.<br>포토너가 사력을 다해 봉인했다는<br>기록밖에 없어."""
un_025150_0240#0,"""어디에 있고, 어떤 형태를 하고 있으며<br>어떻게 해야 쓰러뜨릴 수 있는지.<br>그건 현재 조사 중이야."""
un_025150_0250#0,"""포토너가 타락 끝에 만들어 낸<br>파멸의 의지를 지닌 음의 포톤…<br>그것이 【심원의 어둠】이야."""
un_025150_0260#0,"""아득한 옛날, 포토너가 사력을 다해<br>그 존재를 봉인했지만, 잔재로서<br>다크 펄스와 다커가 남았어."""
un_025150_0270#0,"""그런 잔재와의 싸움이 이 정도야.<br>【심원의 어둠】 그 자체의 힘은<br>미루어 짐작할 수 있겠지."""
un_025150_0280#0,"""모든 것을 끝내려면<br>그런 【심원의 어둠】 자체를<br>지워 없애는 수밖에 없어."""
un_025150_0290#0,"""【심원의 어둠】…<br>다크 펄스 위에<br>그런 터무니없는 게 있는 거구나."""
un_025150_0300#0,"""그렇다면 나도 모두에게 힘이<br>될 수 있도록 더, 더<br>열심히 해야지! 좋아!"""
un_025150_0310#0,"""앗, 잠깐 우르크.<br>아직 전부 말이 끝나지 않았어!<br>…라니, 이미 안 듣고 있네."""
un_025150_0320#0,"""…정말이지.<br>그녀의 한없이 긍정적인 모습에는<br>정말 큰 힘을 얻고 있어."""
un_025150_0330#0,"""저렇게 노력하고 있으면<br>뭐든, 어떻게든 될 것 같다고<br>…이론이 아니라, 그냥 그렇게 느껴져."""
un_025150_0340#0,"""뭐, 우르크도 가 버렸으니<br>일단 여기까지 할까."""
