un_025000_0010#0,"""…<%me>"""
un_025000_0020#0,"""만나서 다행이군.<br>너에게만은 직접<br>감사를 전하고 싶었으니."""
un_025000_0030#0,"""우리의… 아니, 나의 잘못을<br>바로잡아 준 것에 감사한다.<br>…고맙다."""
un_025000_0040#0,"""동시에 사과하겠다.<br>아무 죄 없는 너를 그런 방식으로<br>궁지에 몰아넣은 것을…"""
un_025000_0050#0,"""친구와 싸워야 하는 상황을<br>만들어 버린 것을…<br>진심으로 사과한다."""
un_025000_0060#0,"""이번 일은 전부 내 책임이다.<br>상황이 진정되면 모두가 납득할 방식으로<br>책임을 질 생각이다."""
un_025000_0070#0,"""무거운 말투로 책임을 지겠다니<br>자결이라도 할 생각이야?<br>그런 편한 도망은 못 치게 할 거야."""
un_025000_0080#0,"""하지만, 수장이 책임을 지지 않으면<br>조직이 제대로 유지되지 않는다.<br>지금 아크스를 붕괴시킬 수는…"""
un_025000_0090#0,"""낡았어, 낡아. 생각이 낡았다고, 당신.<br>그렇지 않아,<br><%me>?"""
un_025000_0100#0,"""방송 통지도, 절대령 사용도<br>전부 혼자 해낸 건<br>책임을 떠안기 위해서였지?"""
un_025000_0110#0,"""그렇게 혼자 책임을<br>뒤집어쓰려는 태도가<br>나는 제일 마음에 안 들어."""
un_025000_0120#0,"""…그렇다면 어떻게 하라는 거지.<br>싸우는 것밖에 모르는 이 몸에게<br>무엇을 요구한다는 건가."""
un_025000_0130#0,"""정말 당신은<br>언제까지고 서투르구나."""
un_025000_0140#0,"""책임지는 방법은 하나가 아니야.<br>어떻게 갚을지, 거기서부터<br>생각해 보라는 거야."""
un_025000_0150#0,"""아무리 해도 모르겠다면…<br>그래, 그렇군."""
un_025000_0160#0,"""죽는 편이 낫다고 생각될 정도로<br>아크스를 위해 움직이고, 또 움직이고<br>그다음에 죽으면 돼."""
un_025000_0170#0,"""지금 당장 죽는 쪽이<br>훨씬 민폐야. 그렇지?"""
un_025000_0180#0,"""…책임지는 방법인가."""
