un_025030_0010#0,"""휴이!?"""
un_025030_0020#0,"""…뭐야, 네놈인가.<br>…다행이다."""
un_025030_0030#0,"""나에게 볼일… 있을 리 없나.<br>쓰러뜨리러 왔다고 하는 편이<br>더 납득될 정도야. 하하…"""
un_025030_0040#0,"""네놈도 봤겠지…?<br>나와 똑같이 생긴 그 녀석들을."""
un_025030_0050#0,"""나도 그것과 같아. 그 안의<br>하나가 운 좋게 선택받았을 뿐이다."""
un_025030_0060#0,"""지금이라면 나도 알아…<br>내 힘은 모조되고 복제된 것.<br>대체품은 얼마든지 있었어."""
un_025030_0070#0,"""모든 것은 준비된 의자일 뿐.<br>내가 아니어도 앉을 수 있던 의자."""
un_025030_0080#0,"""그런데도 그런 것도 모른 채<br>나는… 육망을 잇고, 그 이름을 내세우며<br>삼영웅으로서 행동하고 있었어."""
un_025030_0090#0,"""클라리사도<br>이제 아무 말도 하지 않아."""
un_025030_0100#0,"""들리고 있던 건 그 사람의…<br>루서라는 녀석의 말이었고<br>나는 마음대로 조종당했을 뿐…"""
un_025030_0110#0,"""우습지, 정말 우스워…<br>…이걸 웃지 않고<br>무엇을 웃겠어."""
un_025030_0120#0,"""…나는 이제부터<br>어떻게 웃으면 되는 거지."""
un_025030_0130#0,"""이, 이 느낌!<br>휴이다, 휴이가 온다!"""
un_025030_0140#0,"""어, 어이 네놈!<br>내가 여기 있었다는 건 비밀이다!<br>절대로, 절대로니까!"""
un_025030_0150#0,"""울먹이는 포톤을 감지하고!<br>나, 지금 등장!"""
un_025030_0160#0,"""…아 젠장, 또 도망쳤어!<br>저기, 너. 방금 전까지 여기<br>클라리스 클레이스가 있었지?"""
un_025030_0170#0,"""없었어. 저쪽으로 도망쳤어."""
un_025030_0180#0,"""비밀인데, 저쪽으로 도망쳤어."""
un_025030_0190#0,"""은혜는 잊지 않겠다!<br>그럼, 또 보자!"""
