un_025040_0010#0,"""으앗!<br>…네, 네놈은!"""
un_025040_0020#0,"""<%me>!<br>좋은 타이밍이다!<br>그대로 놓지 마라!"""
un_025040_0030#0,"""더, 더 이상 다가오지 마, 휴이!<br>다가오면 폭파할 거야!"""
un_025040_0040#0,"""그럼 말해 봐라, 클라리스 클레이스.<br>왜 도망치는 거지."""
un_025040_0050#0,"""휴이가 쫓아오니까 그렇지!<br>내버려 두라고 했잖아!"""
un_025040_0060#0,"""나 같은 건 이제 됐잖아!<br>나 같은 건…!<br>나… 따위는…!"""
un_025040_0070#0,"""바보 녀석!<br>나를 누구라고 생각하나!"""
un_025040_0080#0,"""그런 말을 하는 녀석을, 이 내가!<br>내버려 둘 수 있다고 생각하나!"""
un_025040_0090#0,"""하지만 나는… 어차피 나는<br>만들어진 모조품일 뿐이고…<br>실패작이고…"""
un_025040_0100#0,"""이 지팡이도, 명예도, 힘도 전부…<br>전부 주어졌을 뿐인 가짜고…<br>…나에게 가치 따위는 없어."""
un_025040_0110#0,"""…네놈도 그렇게 생각하지?<br>그저 모조품인 나에게<br>가치 따위 없다고…"""
un_025040_0120#0,"""그렇지 않아"""
un_025040_0130#0,"""…그럴지도 몰라"""
un_025040_0140#0,"""하하, 꽤 사소한 것에<br>집착하고 있구나, 클라리스 클레이스.<br>너답지 않아."""
un_025040_0150#0,"""부정하고 싶은 마음도 알지만<br>나도 이 녀석과 마찬가지로<br>그렇지 않다고 말하겠다!"""
un_025040_0160#0,"""…확실히 그럴지도 모르지.<br>지금의 너에게 가치는 없을 거다."""
un_025040_0170#0,"""왜냐하면 네가 스스로<br>그렇게 단정하고 있으니까!"""
un_025040_0180#0,"""하지만…!"""
un_025040_0190#0,"""…잘 들어라, 클라리스 클레이스.<br>지금부터 내가 하는 말을 잘 들어."""
un_025040_0200#0,"""저건 말이다…"""
un_025040_0205#0,"""너와 쏙 닮은 녀석이다!"""
un_025040_0210#0,"""그… 그럴 리가 있냐!"""
un_025040_0220#0,"""휴이도 봤잖아!<br>저건 아무리 봐도 나… 나…<br>나의 클론이었잖아!"""
un_025040_0221#0,"""나도 마찬가지야!<br>나도 클론이란 말이다!"""
un_025040_0222#0,"""…전부 조사했다. 전부 알았다.<br>나에게는 의미도, 가치도 없어.<br>나도 클론 중 하나니까…"""
un_025040_0230#0,"""뭐야, 클론이라는 건 알고 있나.<br>그럼 처음부터 그렇게 말하라고.<br>그리고 그 사실에서 눈을 돌리지 마라."""
un_025040_0240#0,"""그 위에서, 나는 다시 한번 말하겠다!<br>저건 너와 쏙 닮은 녀석이지<br>…결단코 너는 아니다!"""
un_025040_0250#0,"""어…?"""
un_025040_0260#0,"""그렇지 않으면 나는<br>너를 많이 죽인 것이 되니까!<br>그런 건 절대로 싫다!"""
un_025040_0270#0,"""그러니 저건 네가 아니다!<br>루서가 만들어 낸<br>나와 너의 공통의 적이다!"""
un_025040_0280#0,"""자, 클라리스 클레이스.<br>그때의 너는 나의 적이었다.<br>…그럼 지금은 어떻지?"""
un_025040_0290#0,"""…나는 적대했잖아?<br>그런 심한 짓을 했잖아?"""
un_025040_0300#0,"""심한 말도 했는데…"""
un_025040_0310#0,"""…그래도 휴이는<br>이런 나를… 용서해 주는 건가?"""
un_025040_0320#0,"""우문!"""
un_025040_0330#0,"""하하… 아하하…<br>정말, 휴이는 바보구나."""
