un_025020_0010#0,"""아아, <%me>.<br>마침 잘 만났어."""
un_025020_0020#0,"""…미안했다.<br>요전날 마더 쉽 내부에서 있었던 일이다.<br>그때는 나도 제정신이 아니었다."""
un_025020_0030#0,"""신경 쓰지 마"""
un_025020_0040#0,"""어쩔 수 없어"""
un_025020_0050#0,"""…고마운 말이지만<br>사과하지 않으면 내 마음이 편치 않아."""
un_025020_0060#0,"""아무리 절대령을 받고 있었다지만<br>친구에게 칼을 겨누게 될 줄은…"""
un_025020_0070#0,"""…나는 아직 누구도 지키지 못해.<br>오로지 정진할 뿐이군."""
un_025020_0080#0,"""…저기<br><%me>.<br>잠깐 괜찮아?"""
un_025020_0090#0,"""…지난번 일, 사과하려고.<br>…정말 미안해."""
un_025020_0100#0,"""음, 신경 쓰지 마"""
un_025020_0110#0,"""뭐, 어쩔 수 없어"""
un_025020_0120#0,"""…그렇게 말해 주는 건 기뻐.<br>사과하지 않으면 내가 나를 용서 못 해."""
un_025020_0130#0,"""…절대령이 있었다고 해도<br>…친구와 싸워 버렸으니까."""
un_025020_0140#0,"""…이번 일로 알았어.<br>나는 미숙해. 너무나 미숙해.<br>…더, 더 정진해야 해."""
un_025020_0150#0,"""하는 말은 같으니까<br>친해질 수 있을 것 같은데<br>성가신 분들이네요."""
un_025020_0160#0,"""어머어머, 죄송합니다.<br>놀라게 해 버렸나요?<br>그럴 생각은 없었답니다."""
un_025020_0170#0,"""아아, 아아, 착각하지 마세요.<br>리사는 사과하러 온 게 아니에요.<br>그건 모두가 해 줄 테니까요."""
un_025020_0180#0,"""리사는 고맙다는 말을<br>하러 온 거예요."""
un_025020_0190#0,"""뭐가 고맙냐고요?<br>즐겁게 싸우게 해 주셨고<br>이것저것 다 합쳐서 전부예요!"""
un_025020_0200#0,"""그러니 감사했습니다."""
un_025020_0210#0,"""그럼 리사는 앞으로도<br>즐거운 일을 해 나갈 거예요.<br>또 만나요. 그럼 이만."""
