un_025050_0010#0,"""아…<br><%me> 씨."""
un_025050_0020#0,"""무슨 일이십니까, 쿠나 씨.<br>이제 와서 겁먹은 겁니까?"""
un_025050_0030#0,"""…내키지 않습니다.<br>다음 기회로 하죠."""
un_025050_0040#0,"""마토이가 물러날 핑계로<br>그럴듯하게 이용당해 버렸네요.<br><%me> 씨."""
un_025050_0050#0,"""…그 이상 쓸데없는 말을 지껄이면<br>지금 당장이라도 그 목숨, 끊어 드리죠?"""
un_025050_0060#0,"""하하, 농담입니다, 농담.<br>루서가 사라진 지금, 제가 서둘러<br>죽을 필요도 없어졌으니까요."""
un_025050_0070#0,"""…무슨 뜻입니까?"""
un_025050_0080#0,"""포토너란 태고의 존재.<br>아무리 뛰어난 초고도 기술이 있었다 해도<br>당시의 육체를 유지하는 건 불가능합니다."""
un_025050_0090#0,"""자, 그렇다면 루서의 육체는<br>대체 어디서 조달한 것일까요?"""
un_025050_0100#0,"""…답은 여기.<br>아크스의 몸을 그릇으로 삼아<br>이용하고 있었던 겁니다."""
un_025050_0110#0,"""지금의 몸이 망가지면<br>준비해 둔 다음 몸으로…<br>마치 다크 펄스처럼 말이죠."""
un_025050_0120#0,"""뭐, 실제로 다크 펄스였으니<br>웃을 일도 아닙니다만."""
un_025050_0125#0,"""당신도 우리와 마찬가지로<br>…만들어진 존재입니까?"""
un_025050_0130#0,"""네, 그렇습니다.<br>삼영웅 카스라 타입의 클론.<br>그 초기 실험 로트가 저입니다."""
un_025050_0140#0,"""클라리스 클레이스처럼<br>양산되지 않았던 것은…<br>뭐, 다루기 어렵기 때문이겠죠."""
un_025050_0150#0,"""초대 카스라는 성격이 꼬여 있고<br>조종하기 어려워 직접 빼앗았다고<br>루서가 말할 정도였으니까요."""
un_025050_0160#0,"""아, 그래도 착각하지 마십시오.<br>같은 처지라서 동정을 사려 한다거나<br>그럴 생각은 없습니다."""
un_025050_0170#0,"""조룡 계획을 입안한 것은 저입니다.<br>즉 쿠나 씨의 복수 대상은<br>제가 맞습니다."""
un_025050_0180#0,"""루서의 개입을 예상하지 못했고<br>비인도적인 실험을 막지 못한 책임도<br>당연히 제게 있습니다."""
un_025050_0190#0,"""…삼영웅 카스라.<br>왜 조룡의 일을<br>은폐하지 않았습니까?"""
un_025050_0200#0,"""평소라면 조용히 뒤에서 처리했을 겁니다.<br>그런데 당신 주도일 때만<br>연구실의 소행까지 포함해 일제히 공개…"""
un_025050_0210#0,"""마치 연구실의 어두운 면을<br>밝혀내려는 것처럼…<br>…왜 그런 짓을?"""
un_025050_0220#0,"""…글쎄요, 왜였을까요."""
un_025050_0230#0,"""…저는 당신의<br>그런 점이 정말 싫습니다."""
un_025050_0240#0,"""이런 이런.<br>또 죽을 기회를 놓쳐 버렸네요."""
un_025050_0250#0,"""방금 이야기는 사실인가?"""
un_025050_0260#0,"""너무 장난치는 거 아닌가?"""
un_025050_0270#0,"""글쎄요?<br>어디까지가 진실이고 거짓인지는<br>상상에 맡기겠습니다."""
un_025050_0280#0,"""그런가요?<br>그래도 이 정도면 꽤 진지하게<br>이야기한 편인데요?"""
un_025050_0290#0,"""하지만 조금 너무 많이 말했군요.<br>…당신과 있으면 어째서인지 입이<br>가벼워져 버립니다. 곤란하네요."""
un_025050_0300#0,"""경솔한 말을 내뱉기 전에<br>저는 이만 실례하겠습니다.<br>그럼."""
