un_025160_0010#0,"""아아, <%me>.<br>마침 잘 왔어."""
un_025160_0020#0,"""샤오.<br>우리끼리 고민해 봐야 어쩔 수 없어.<br>다른 사람 의견도 들어 보지 않을래?"""
un_025160_0030#0,"""…그렇네.<br>앞으로의 아크스 관리 체제에 대해<br>조금 의견을 들려줬으면 해."""
un_025160_0040#0,"""솔직히 말하면, 삼영웅이나<br>육망균형을 어떻게 할지 말이야.<br>남길지 해체할지 망설이고 있어."""
un_025160_0050#0,"""특별 지위를 없애고 모두를 동등하게 한다는 건<br>듣기에는 좋지만, 장기적으로는<br>통제를 잃게 되거든."""
un_025160_0060#0,"""그렇다고 이대로가 좋다고<br>생각하는 것도 아니라서…<br>솔직히 일장일단이라 망설이고 있어."""
un_025160_0070#0,"""남기는 편이 좋아"""
un_025160_0080#0,"""해체하는 편이 좋아"""
un_025160_0090#0,"""음, 사실 나도<br>남기는 편이 좋다고 생각해."""
un_025160_0100#0,"""왜냐하면 지금도 이미<br>여러 일이 막 밝혀져서<br>혼란스러운 중이잖아?"""
un_025160_0110#0,"""거기에 더해 상징이기도 했던<br>삼영웅과 육망균형도 해체한다고 하면<br>억제가 안 되지 않을까?"""
un_025160_0120#0,"""아크스라면 군말 없이<br>움직여 주길 바라지만…<br>인간적으로 생각하면 그럴지도."""
un_025160_0130#0,"""음, 해체하는 건가…<br>해체한다, 라… 당사자가 말한다면<br>괜찮으려나."""
un_025160_0140#0,"""우르크는 반대야?"""
un_025160_0150#0,"""아니, 해체했을 때의 장점을<br>생각해 보고 있는데…<br>영 와닿지가 않아서."""
un_025160_0160#0,"""지금 갑자기 해체해 버리면<br>모두가 혼란스러워할지도 모른다는 게<br>걱정이려나."""
un_025160_0170#0,"""뭐, 확실히 이미 이것저것<br>비밀을 공표하고 있으니까.<br>쓸데없는 혼란은 피해야 하나."""
un_025160_0180#0,"""애초에 아크스라는 조직 자체는<br>그렇게까지 썩어 있지는 않아.<br>윗선이 썩어 있었을 뿐이지."""
un_025160_0190#0,"""레기아스들도 루서에게<br>협박당해 따랐던 셈이고<br>재건할 수는 있다고 생각해."""
un_025160_0200#0,"""물론 어떤 형태가 되든<br>조직 전체의 명령 계통은 다시 만들 거야."""
un_025160_0210#0,"""일단은 나를 책임자로 세워<br>전부 진행할 생각이지만…<br>별로 하고 싶지는 않단 말이지."""
un_025160_0220#0,"""사실은 <%me> 같은 사람이<br>맡아 주면<br>정말 편하겠는데?"""
un_025160_0230#0,"""뭐, 네가 현장에<br>나갈 수 없게 되는 쪽이<br>문제라서 안 되겠지만."""
un_025160_0240#0,"""아아, 사무직으로 돌릴 수 있는 비전투원이고<br>이쪽 사정도 알면서, 내게<br>의견도 낼 수 있는 인재 없으려나."""
un_025160_0250#0,"""샤오, 너무 눈이 높아.<br>처음부터 완벽하게 해낼 사람을<br>바라다니 너무 사치야."""
un_025160_0260#0,"""몇 번이고 실패하고, 그래도<br>일어나서 나아가는 게 우리야.<br>그렇지?"""
un_025160_0270#0,"""왜, 왜 그래, 둘 다.<br>나, 어디 이상해?"""
un_025160_0280#0,"""…있었네.<br>딱 맞는 사람이."""
un_025160_0290#0,"""이야, 참고가 됐어,<br><%me>.<br>또 상담에 응해 줬으면 해."""
un_025160_0300#0,"""어, 어라, 잠깐 샤오?<br>왜 모든 게 해결된 것 같은<br>후련한 얼굴을 하고 있어?"""
