un_025140_0001#0,"""A.P.228/8/7"""
un_025140_0010#0,"""앗, 스승님! 오랜만이야!<br>도통 못 만나서<br>조금 쓸쓸했다고?"""
un_025140_0020#0,"""앉아서 듣는 수업보다<br>스승님 말을 듣거나 움직임을 보는 편이<br>훨씬 공부가 돼."""
un_025140_0030#0,"""그러니까 스승님, 더 많이<br>나한테 가르쳐 줘!<br>…어, 스승님?"""
un_025140_0040#0,"""왜 그렇게 난처한<br>얼굴을 하는 거야."""
un_025140_0050#0,"""…혹시 스승님<br>어딘가 먼 곳으로 가 버리는 거야?"""
un_025140_0060#0,"""이번엔 정곡을 찔렸다는 얼굴이네.<br>뭐야, 모처럼<br>알게 됐는데…"""
un_025140_0070#0,"""…좋아, 그럼 나도<br>스승님을 따라갈래! 학교도 그만둘게!<br>더 이것저것 배우고 싶으니까!"""
un_025140_0080#0,"""상냥하게 타이른다"""
un_025140_0090#0,"""분명하게 거절한다"""
un_025140_0100#0,"""아크스가 아니라서 안 된다고…<br>그럼 아크스였다면<br>나를 데려가 줬을까?"""
un_025140_0110#0,"""…데려가 주지 않겠지?<br>나도 알고 있어.<br>원래 무리한 부탁이라는 건."""
un_025140_0120#0,"""실력 부족이라니…<br>하하, 가차 없네, 스승님.<br>정말 알기 쉬운 이유야."""
un_025140_0130#0,"""하지만 스승님.<br>나에게 실력이 있었다고 해도<br>데려갈 생각, 없지?"""
un_025140_0140#0,"""데려가 준다면 반드시 지금보다<br>더, 더 강해져서<br>스승님에게 도움이 될 수 있을 텐데…!"""
un_025140_0150#0,"""…좋아, 해 주겠어!<br>곧 스승님을 따라잡을 테니까!<br>보고 있으라고, 스승님!"""
