un_025100_0001#0,"""A.P.228/7/19"""
un_025100_0010#0,"""스승님, 스승님!"""
un_025100_0020#0,"""하아, 하아…<br>겨우 찾았다, 스승님."""
un_025100_0030#0,"""전에 말했잖아.<br>강한 아크스가 되기 위한 마음가짐<br>들려 달라고!"""
un_025100_0040#0,"""예를 들어 스승님이 자기 선배에게<br>어떤 걸 배웠다든가!<br>묻고 싶은 건 산더미야!"""
un_025100_0050#0,"""후배를 돕는 게 선배의 의무?<br>그거, 스승님의 선배가 말한 거야?"""
un_025100_0060#0,"""스승님의 선배라니 말하기 어렵네…<br>귀찮으니까 스승님이 말했다고<br>해도 되겠다."""
un_025100_0070#0,"""그나저나 역시 스승님은<br>이것저것 많이 알고 있구나.<br>역시 현장은 다르다는 거네."""
un_025100_0080#0,"""지금은 다커의 공세가 강해서<br>어떻게 효율적으로 격퇴할지<br>그런 이야기뿐이거든."""
un_025100_0090#0,"""후배를 위해서는커녕<br>애초에 남을 위한다는 발상이 없어."""
un_025100_0100#0,"""다들 자기 일만으로<br>벅찬 느낌이라, 주변까지<br>눈이 안 가는 거겠지."""
un_025100_0110#0,"""…아, 큰일!<br>연수를 빼먹고 왔어!<br>스승님, 또 봐!"""
