un_025130_0001#0,"""A.P.228/7/28"""
un_025130_0010#0,"""어이, 스승님!<br>겨우 찾았다!"""
un_025130_0020#0,"""또 남을 위해 움직이고 있어?<br>역시랄까, 뭐랄까<br>여전히 바빠 보이네."""
un_025130_0030#0,"""하지만 그런 일을 해 왔기 때문에<br>강해졌다는 거라면<br>나도 따라 해 볼까…?"""
un_025130_0060#0,"""찾았다, 문제아!"""
un_025130_0070#0,"""윽, 레기아스 할아범…!"""
un_025130_0080#0,"""멋대로 실전 훈련에 나가다니<br>꽤 제멋대로 구는구나.<br>항의가 나에게까지 들어왔다."""
un_025130_0090#0,"""괜, 괜찮잖아!<br>마음껏 싸우는 편이<br>성적도 좋고!"""
un_025130_0100#0,"""하지만 그런 식으로 싸우다간<br>언젠가 소중한 것을 지키지 못하게 된다.<br>너는 그래도 괜찮은가?"""
un_025130_0110#0,"""좋…지는 않지만."""
un_025130_0120#0,"""…어쨌든 규칙은 규칙이다.<br>아무리 재능이 뛰어나도<br>예외는 없다."""
un_025130_0130#0,"""자, 돌아간다.<br>돌아가서 설교 시간이다."""
un_025130_0140#0,"""으에…"""
un_025130_0150#0,"""소란스럽게 했군.<br>이 녀석은 내게 맡기고<br>자네는 임무로 돌아가라."""
un_025130_0201#0,"""？？？"""
