name_7009#0,"""Oranje"""
ssn_014050_0001#0,"""Parece que has ganado mucha experiencia como ARKS."""
ssn_014050_0002#0,"""Tengo que pedirte un favor, ¿te importaría?"""
ssn_014050_0101#0,"""Hmmm, me alegro de que hayas aceptado mi petición"""
ssn_014050_0102#0,"""De hecho, recientemente en el bosque de Resol se han confirmado ondas de radio de una longitud de onda nunca vista antes"""
ssn_014050_0103#0,"""Parece que esas ondas de radio están afectando de alguna manera a los Dolls de alrededor"""
ssn_014050_0104#0,"""Todavía no tenemos suficiente información para saberlo con seguridad, pero ¿Puede ayudarme con mi investigación? """
ssn_014050_0105#0,"""Me gustaría que me dejaras seguir los compromisos con los Dolls que están recibiendo ondas de radio. De esta manera, podríamos aprender algo."""
ssn_014050_0106#0,"""Estoy deseando trabajar con usted."""
ssn_014050_0201#0,"""Lo siento, si te apetece, vuelve por favor"""
ssn_014050_0301#0,"""Es bueno que te tomes tu misión en serio, pero no seas demasiado imprudente"""
ssn_014050_0302#0,"""En caso de emergencia, anteponga su seguridad personal"""
ssn_014050_0401#0,"""Esta es una misión muy peligrosa, así que prepárate con cuidado"""
ssn_014050_0402#0,"""Por favor, cuiden de las criadoras. Espero que todos regresen sanos y salvos."""
ssn_014050_0105_01#0,"""電波を受けているドールズとの交戦記録をとらせてほしいんです。<br>そうすれば、なにかわかるかもしれないので。"""
