st_058180_0280#0,"""それはいかなる時においても<br>不変のこと。"""
st_058180_0290#0,"""すべては、主のために。"""
st_058180_0300#0,"""……こうして、神聖エピクエント魔道国は<br>正しき統治のもと、以後も訪れる艱難辛苦を<br>乗り越えて、永代の平和を築いていった。"""
st_058180_0310#0,"""これが、オメガの歴史におけるハリエット。<br>彼女は多くの助けを受け、多くの力を得て<br>最後に人を信じ、救われていった。"""
st_058180_0320#0,"""だが、歴史はそうはならなかった。<br>本来の歴史は、そうではなかった。"""
st_058180_0330#0,"""そのことを<br>貴方たちはよく知っているはずです。"""
st_058180_0340#0,"""あ……なたは……！"""
st_058180_0350#0,"""……ハリエット！？"""
st_058180_0360#0,"""……どうして、君がここにいる！"""
st_058180_0370#0,"""あれはあくまで夢です。<br>現実には起きえなかった事。"""
st_058180_0380#0,"""本来の歴史には、救世主なんて<br>いらっしゃらなかったんですから。"""
st_058180_0390#0,"""でも、夢の中の彼女が救われたおかげで<br>今の私がここに居る。<br>だから、その御礼に伺った次第です。"""
st_058180_0400#0,"""どういうこと……？"""
st_058180_0410#0,"""隔てた次元を渡るには<br>膨大なエネルギーが必要なんですよ。"""
st_058180_0420#0,"""開闢に等しき力を持つブラックホール。<br>それが消滅する、その瞬間<br>エネルギーを、まとめて頂きました。"""
st_058180_0430#0,"""おかげで、戻って来られたんです。<br>私は、ここに。"""
st_058180_0440#0,"""あ……貴方は、誰なんですか。"""
st_058180_0450#0,"""……それは時間稼ぎですか。<br>シエラさん？"""
st_058180_0460#0,"""管理者権限、緊急行使！<br>リミッター解除！"""
st_058180_0470#0,"""ラビュリス！"""
st_058180_0480#0,"""創世！"""
st_058180_0490#0,"""止めた……！？"""
st_058180_0500#0,"""……この者達は！"""
st_058180_0510#0,"""御礼に来ただけと言っているのに<br>乱暴と短気は、損をしますよ。"""
st_058180_0520#0,"""きゃあっ！？"""
st_058180_0530#0,"""時が、来ましたねえ。"""
st_058180_0540#0,"""はい……<br>今度は私が、皆の力に。"""
st_058180_0550#0,"""……どう、なってるの！<br>攻撃が、まったく通じない……！"""
st_058180_0560#0,"""通じない、は正しくないね。<br>通じてるけど、吸われてる……だ。"""
st_058180_0570#0,"""この程度なんですか？<br>困りましたね、今日は御礼と挨拶の<br>つもりだったんですが……"""
st_058180_0580#0,"""あまりにも手応えがありませんし<br>……終わらせてしまっても<br>いいのかもしれません。"""
st_058180_0590#0,"""<%me>っ！"""
st_058180_0600#0,"""……これは。"""
st_058180_0610#0,"""死角から撃ったのに手応えいまいち。<br>流石は終の女神さんですねえ。<br>あなたの力でもかすり傷程度ですよお？"""
st_058180_0620#0,"""ですが、傷は負わせられました。<br>つまり、戦えます。"""
st_058180_0630#0,"""……なるほど。<br>魂のみを、器に移したんですね。<br>全知存在の見る夢は、正しき夢だったと。"""
st_058180_0640#0,"""ふふっ、しかし、ずいぶん見苦しく<br>生にしがみつくものです。"""
st_058180_0650#0,"""……それでは、挨拶は<br>このぐらいにしておきましょうか。"""
st_058180_0660#0,"""世界よ、聞きなさい。"""
st_058180_0670#0,"""我が名は終の女神、シバ。<br>かつて世界の為に贄となった者。"""
st_058180_0680#0,"""ゆえに、世界よ。<br>今度は貴方が<br>私の為の贄となりなさい。"""
st_058180_0690#0,"""全知存在の生みだした、世界の器。<br><%me>。<br>貴方を壊し、世界を壊す。"""
st_058180_0700#0,"""始まりに生みだされし私と<br>終わりに生みだされし貴方。"""
st_058180_0710#0,"""どちらが残るかは<br>それこそ全知存在でも<br>知りえないはずですよ。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
