st_058180_0280#0,"""그 마음은 언제나<br>변하지 않습니다."""
st_058180_0290#0,"""모든 것은 주인님을 위해."""
st_058180_0300#0,"""……그리하여 신성 에피쿠엔트 마도국은<br>바른 통치 아래 이어진 온갖 고난을<br>이겨 내고 영원한 평화를 이루었다."""
st_058180_0310#0,"""이것이 오메가의 역사에 남은 하리엣이다.<br>수많은 도움과 힘을 얻고<br>마지막에는 사람을 믿어 구원받았다."""
st_058180_0320#0,"""하지만 실제 역사는 그렇게 흘러가지 않았다.<br>본래 역사는 달랐다."""
st_058180_0330#0,"""그 사실을<br>여러분도 잘 알고 계실 겁니다."""
st_058180_0340#0,"""아……저 모습은……!"""
st_058180_0350#0,"""……하리엣!?"""
st_058180_0360#0,"""……어째서 이곳에 있는 거지!"""
st_058180_0370#0,"""그건 어디까지나 꿈입니다.<br>현실에서는 일어날 수 없었던 일입니다."""
st_058180_0380#0,"""본래 역사에는 구세주 따위<br>없었으니까요."""
st_058180_0390#0,"""하지만 꿈속의 하리엣이 구원받은 덕분에<br>지금의 제가 이곳에 있습니다.<br>그래서 감사 인사를 드리러 왔습니다."""
st_058180_0400#0,"""무슨 말이야……?"""
st_058180_0410#0,"""서로 떨어진 차원을 건너려면<br>막대한 에너지가 필요합니다."""
st_058180_0420#0,"""세상을 열 때와 맞먹는 힘을 지닌 블랙홀.<br>그것이 사라지는 순간<br>에너지를 한꺼번에 받아 왔습니다."""
st_058180_0430#0,"""덕분에 돌아올 수 있었습니다.<br>바로 이곳으로."""
st_058180_0440#0,"""저……누구신가요?"""
st_058180_0450#0,"""……시간을 벌려는 건가요.<br>시에라 씨?"""
st_058180_0460#0,"""관리자 권한, 긴급 사용!<br>리미터 해제!"""
st_058180_0470#0,"""라브리스!"""
st_058180_0480#0,"""『창세』!"""
st_058180_0490#0,"""막았어……!?"""
st_058180_0500#0,"""……이들은!"""
st_058180_0510#0,"""감사 인사를 드리러 왔다고 했는데<br>거칠고 성급하게 굴면 손해랍니다."""
st_058180_0520#0,"""꺄악!?"""
st_058180_0530#0,"""때가 왔네요."""
st_058180_0540#0,"""네……<br>이번에는 제가 모두의 힘이 되겠습니다."""
st_058180_0550#0,"""……어떻게 된 거야!<br>공격이 전혀 통하지 않아……!"""
st_058180_0560#0,"""통하지 않는다는 건 정확하지 않아.<br>통하긴 하지만 흡수되고 있는 거야."""
st_058180_0570#0,"""이 정도인가요?<br>곤란하군요. 오늘은 감사와 인사를<br>드리러 왔을 뿐인데……"""
st_058180_0580#0,"""너무 시시해서<br>……이대로 끝내 버려도<br>괜찮을 것 같네요."""
st_058180_0590#0,"""<%me>っ！"""
st_058180_0600#0,"""……이건."""
st_058180_0610#0,"""사각에서 쐈는데도 반응이 시원찮네요.<br>역시 종말의 여신답네요.<br>하리엣의 힘을 빌려도 겨우 생채기인가요?"""
st_058180_0620#0,"""그래도 상처는 입혔습니다.<br>그렇다면 싸울 수 있습니다."""
st_058180_0630#0,"""……그렇군요.<br>영혼만 그릇으로 옮겼군요.<br>전지 존재가 꾸는 꿈은 올바른 꿈이었다는 건가요."""
st_058180_0640#0,"""후훗, 그래도 참 볼품없이<br>삶에 매달리는군요."""
st_058180_0650#0,"""……그럼 인사는<br>이쯤에서 마치죠."""
st_058180_0660#0,"""세계여, 들으세요."""
st_058180_0670#0,"""제 이름은 종말의 여신 시바.<br>한때 세계를 위해 제물이 된 자."""
st_058180_0680#0,"""그러니 세계여.<br>이번에는 세계가<br>저를 위한 제물이 되세요."""
st_058180_0690#0,"""전지 존재가 만들어 낸 세계의 그릇.<br>바로 <%me><br>그 그릇을 부수고 세계도 부수겠습니다."""
st_058180_0700#0,"""태초에 만들어진 저와<br>마지막에 만들어진 세계의 그릇."""
st_058180_0710#0,"""둘 중 무엇이 남을지는<br>전지 존재조차<br>알 수 없을 겁니다."""
name01#0,"""？？？"""
name02#0,"""？？？"""
