st_058160_0010#0,"""말도 안 돼……내가……지다니……?"""
st_058160_0020#0,"""그렇습니다.<br>수호휘사에게 진 겁니다."""
st_058160_0030#0,"""에피메라는 정화됐어……<br>그런데 왜 거기 있는 거야!<br>왜 사라지지 않아, 하리엣!"""
st_058160_0040#0,"""세계를 정하는 건 자신의 뜻.<br>……저는 미래를 바랐고<br>그래서 지금 이곳에 있습니다."""
st_058160_0050#0,"""……하지만 소용없어, 소용없다고!<br>여기는 되풀이되는 세계니까!"""
st_058160_0060#0,"""지금의 나를 쓰러뜨려도<br>몇 번이고 다시 나타날 거야!<br>그만큼 많은 인자가 이곳에 있어!"""
st_058160_0070#0,"""후후, 후후후, 하하하하!<br>역시 역사는 이렇게 됐어……<br>그러니까 역사는 끝나는 거야……"""
st_058160_0080#0,"""지금 여기서 사라지는 편이<br>조금은 나았을 텐데."""
st_058160_0090#0,"""그건 대체 무슨……"""
st_058160_0100#0,"""미래에 희망만 있다고 생각하지 마.<br>내일이 빛에 감싸일 거라 믿지 마.<br>절망은 바로 곁에 있어."""
st_058160_0110#0,"""괴로워해라, 몇 번이고 괴로워해라.<br>세계의 원망을 계속 받으며……<br>절망 속에서 멸망해라……!"""
st_058160_0120#0,"""하하하, 하하하하하!"""
st_058160_0130#0,"""마지막에는 상당히 막 나갔는데<br>진 게 분했던 걸까요……"""
st_058160_0140#0,"""……그보다<br>하리엣 씨, 괜찮으세요?"""
st_058160_0150#0,"""괜찮다고 해도 될지는<br>모르겠지만……<br>제 마음은 이곳에 있습니다."""
st_058160_0160#0,"""수호휘사 덕분입니다."""
st_058160_0170#0,"""하지만 저 때문에 모두와<br>세계에 큰 피해를<br>입히고 말았습니다……"""
st_058160_0180#0,"""이제 와서 제가 살아남아도……"""
st_058160_0190#0,"""하리엣!<br>무사하지, 무사한 거지!<br>하아, 정말 다행이야!"""
st_058160_0200#0,"""마, 마르가레타……!?"""
st_058160_0210#0,"""……고생하셨습니다, 하리엣 님.<br>우선 무사히 다시 만난 것을 기뻐하죠."""
st_058160_0220#0,"""아리사 님까지……"""
st_058160_0230#0,"""응? 왜 그렇게 침울해?<br>기쁘지 않아? 살아 있잖아."""
st_058160_0240#0,"""살아 있다니……아, 아닙니다.<br>하지만 저 때문에 모두에게 폐를……"""
st_058160_0250#0,"""바보야!<br>그런 걸 하나하나 신경 써서 뭐 하게!<br>왕은 남에게 폐를 끼치는 법이야!"""
st_058160_0260#0,"""게다가 이번 일은 하리엣이 아니라<br>에르밀이라는 녀석이 전부 잘못했어!<br>하리엣이 신경 쓸 일이 아니야!"""
st_058160_0270#0,"""우리 신을 봐!<br>변덕스럽게 게으름 피우다 천벌이나 내리고,<br>민폐라는 건 그런 걸 말해!"""
st_058160_0280#0,"""말은 잘하는군, 멍청한 왕.<br>어지간히 천벌을 받고 싶나 봐."""
st_058160_0290#0,"""으악, 신……!<br>그건 말이 그렇다는 뜻이랄까……<br>거, 거짓말은 안 했는걸!"""
st_058160_0300#0,"""뭐, 됐어. 신은 관대한 법이니까.<br>천벌은 나중에 내려 주지."""
st_058160_0310#0,"""결국 천벌은 내리는 거잖아!"""
st_058160_0320#0,"""그보다 하리엣, 알고 있나?<br>그대로면 사라져 버린다."""
st_058160_0330#0,"""하리엣의 그릇은 사라졌어.<br>이곳에 있는 건 영혼의 흔적뿐이야."""
st_058160_0340#0,"""지금은 그 흔적이 뚜렷하지만<br>영혼을 담을 것이 없으면<br>결국 형태를 유지할 수 없게 돼."""
st_058160_0350#0,"""……네, 알고 있습니다.<br>애초에 제가 마음을 지닌 것부터<br>기적이었습니다."""
