st_058030_0010#0,"""서둘러!"""
st_058030_0020#0,"""빨리 움직여!"""
st_058030_0030#0,"""떨어지지 말고 따라오세요!"""
st_058030_0040#0,"""와, 와, 와!<br>뭔가 굉장히 분주하네요.<br>혼란에 빠진 것 같지는 않지만요."""
st_058030_0050#0,"""자, 준비를 마친 사람부터<br>서쪽으로 대이동이야!<br>짐은 꼭 필요한 것만 챙겨!"""
st_058030_0060#0,"""이곳은 다시 전쟁터가 될 수 있습니다.<br>여러분을 지키기 위한 잠시의 대피를<br>받아들여 주시겠습니까."""
st_058030_0070#0,"""당황하지 말고 천천히 움직여!<br>모르는 건 우리 근위병들에게<br>편하게 물어보면 친절히 답해 줄 거야!"""
st_058030_0080#0,"""이 목소리……마르 씨!?<br>게다가 아리사 씨까지!<br>왕성으로 서두르죠!"""
st_058030_0090#0,"""마르 씨!"""
st_058030_0100#0,"""그 익숙한 무례함……!<br>이제야 왔네, 요정!"""
st_058030_0110#0,"""그리고 수호휘사.<br>기다리고 있었습니다."""
st_058030_0120#0,"""둘 다 왜 여기에?"""
st_058030_0130#0,"""여기서 뭘 하고 있는 거지?"""
st_058030_0140#0,"""보면 알겠지만 쿠엔트 국민을<br>대피시키고 있어."""
st_058030_0150#0,"""나만으로는 쿠엔트 국민이<br>잘 믿지 못할 테니까<br>검의 무녀에게도 도와달라고 했지."""
st_058030_0160#0,"""대피라니……마르 씨는<br>무슨 일이 벌어지는지 알고 계신가요?"""
st_058030_0170#0,"""무슨 일이 벌어지는지는 몰라.<br>하지만 위험한 상황인 건 알아.<br>멀리서도 저 검은 고치가 보이잖아."""
st_058030_0180#0,"""저걸 중심으로 검은 물이 넘쳐흐르고 있어.<br>거기서 마물과 마신성이 끝없이 나오니<br>그쪽은 큰 혼란에 빠졌지."""
st_058030_0190#0,"""나오는 대로 쓰러뜨려도 끝이 없어서<br>들어오지 못하도록 장벽을 세우고<br>그사이 국민 모두 서쪽으로 대피 중이야."""
st_058030_0200#0,"""에픽은 언제나 이민자를 환영해!<br>살기에는 험난한 땅이지만!"""
st_058030_0210#0,"""사룡과 관계없는 상황인데도<br>검은 힘을 빌려주고 있습니다.<br>그만큼 심각한 사태라는 뜻입니다."""
st_058030_0220#0,"""……검은 저것을 재앙의 현신이라 말합니다.<br>붉은 사룡을 뛰어넘는 위협이 꿈틀거린다고요."""
st_058030_0230#0,"""게다가 이럴 때 앞장설 하리엣이<br>행방불명인 거잖아?<br>그럼 내가 힘을 내야지."""
st_058030_0240#0,"""하리엣이라면 가장 먼저 국민부터<br>안전한 곳으로 피신시켰겠지.<br>그래서 내가 대신하고 있는 거야."""
st_058030_0250#0,"""자, 그쪽 질문에는 답했어.<br>그럼 이제 내가 물을게."""
st_058030_0255#0,"""……하리엣은 어디 있어?"""
st_058030_0260#0,"""……그게."""
st_058030_0270#0,"""……삼켜진 거군요.<br>저 검은 고치에."""
st_058030_0280#0,"""어떻게 알았냐는 표정 짓지 마.<br>상황을 생각하면 당연하잖아."""
st_058030_0290#0,"""이런 상황에서도<br>하리엣이 돌아오지 않아.<br>무슨 일이 생긴 게 분명해."""
st_058030_0300#0,"""다쳤다면 수호휘사가 곁을 떠날 리 없고<br>죽었다면 먼저 그렇게 보고했겠지.<br>그렇다면 납치됐다는 게 타당해."""
st_058030_0310#0,"""그리고 우리에게 가장 먼저<br>지금 상황을 설명해 달라고 했어.<br>장소를 서둘러 찾을 필요가 없다는 뜻이지."""
st_058030_0320#0,"""그러니까 납치된 곳도 알고 있어.<br>지금 상황에서는 하나밖에 없지."""
st_058030_0330#0,"""……대단해요, 마르 씨."""
st_058030_0340#0,"""마음을 조종하는 비약을 만든 나라에서<br>괜히 왕 노릇을 한 게 아니라고."""
st_058030_0350#0,"""……둘이 망설이는 것도<br>알고 있어."""
st_058030_0360#0,"""그러니 왕으로서<br>힘껏 등을 밀어 줄게!"""
st_058030_0370#0,"""무엇을 해야 할지는<br>뻔하잖아!"""
st_058030_0380#0,"""저게 없을 때는 문제없었어!<br>저게 있으니 문제가 생겼어!<br>그러니까 저걸 해결하면 돼!"""
st_058030_0390#0,"""하지만 저 검은 고치에는<br>하리엣 씨가……"""
st_058030_0400#0,"""그건……으음, 뭐<br>수호휘사에게 맡겨!"""
st_058030_0410#0,"""너무 가볍잖아요!"""
st_058030_0420#0,"""시끄러워, 요정! 그것밖에 없잖아!<br>우리는 어쩌지 못한 일도<br>수호휘사가 해결해 줬으니까!"""
st_058030_0430#0,"""……에픽 신왕의 말씀대로입니다.<br>수호휘사는 불가능을 가능하게<br>만들어 왔습니다."""
st_058030_0440#0,"""붉은 사룡을 물리치고<br>그 안에 삼켜져 있던<br>숙부님을 구해 주셨습니다."""
st_058030_0450#0,"""어둠에 삼켜졌던<br>나도 구해 냈어."""
st_058030_0460#0,"""게다가 수호휘사의 업적은<br>그뿐만이 아니야."""
st_058030_0470#0,"""「무엇을 믿을래?」라고 묻는다면<br>가장 먼저 「수호휘사를 믿는다」가<br>당연한 대답이잖아!"""
st_058030_0480#0,"""그걸 믿고 힘을 보태는 거야!<br>결과가 어떻게 되더라도 그건<br>「믿은 결과」일 뿐이야!"""
st_058030_0490#0,"""그러니 책임을 느낄 필요도 없고<br>앞으로 할 일을<br>망설일 필요도 없어."""
st_058030_0500#0,"""결단의 책임은<br>왕인 나와 하리엣이 지는 거야."""
st_058030_0510#0,"""마르 씨……"""
st_058030_0520#0,"""무·례·해!<br>이름은 제대로 부르라고!"""
st_058030_0530#0,"""수호휘사.<br>반드시 해낼 수 있습니다."""
st_058030_0540#0,"""검도 그렇게 말하고 있습니다.<br>몇 번이나 일으켜 온 기적을<br>지금 이곳에서 다시 일으키라고요."""
st_058030_0550#0,"""아니, 검이 말하지 않더라도……<br>저……아리사는 그렇게 믿습니다."""
st_058030_0560#0,"""세계의 재앙에 맞서는 이 칼날.<br>수호휘사가 뜻을 펼칠 수 있도록<br>지금 여기서 맹세하겠습니다."""
st_058030_0570#0,"""하리엣을 구하자"""
st_058030_0580#0,"""세계를 구하자"""
skit01#0,"""The Saviors"""
skit02#0,"""그리하여 영웅은 이곳에 모인다"""
name01#0,"""시민"""
name02#0,"""시민"""
