st_058180_0010#0,"""……어서 오세요."""
st_058180_0020#0,"""다녀왔어"""
st_058180_0030#0,"""샤오, 블랙홀은……?"""
st_058180_0040#0,"""걱정하지 마.<br>두 사람이 돌아올 즈음<br>블랙홀도 사라졌어."""
st_058180_0050#0,"""동시에 지구 쪽 블랙홀도<br>사라졌다는 연락이 왔어."""
st_058180_0053#0,"""……그럼 오메가도<br>사라진 건가요?"""
st_058180_0056#0,"""오메가는 아카식 레코드가 구현된 세계야.<br>그쪽은 그대로 남아 있어.<br>눈에 보이던 위협만 사라진 거지."""
st_058180_0060#0,"""두 사람은 충분히 해 줬어.<br>덕분에 세계를 구했으니……<br>이제 내가 할 일이야."""
st_058180_0070#0,"""【가면】은……"""
st_058180_0080#0,"""【심원의 어둠】은……"""
st_058180_0090#0,"""반응은 완전히 사라졌어.<br>나베리우스 근처에서도 감지되지 않아."""
st_058180_0100#0,"""자료만 놓고 보면<br>사라졌다고 판단하는 게 맞아."""
st_058180_0110#0,"""하지만……【가면】이 힘을<br>보태 준 것도 사실이야."""
st_058180_0120#0,"""……응.<br>나도 느껴져.<br>아직 뚜렷하지는 않지만 느낄 수 있어."""
st_058180_0130#0,"""마음속에서 그 사람의 흔적이……<br>전에는 없던 온기가 느껴져.<br>……조금은 나아간 거겠지."""
st_058180_0140#0,"""마토이와 <%me><br>두 사람 모두 계속 일하느라 지쳤을 거야.<br>한동안 푹 쉬어."""
st_058180_0150#0,"""그러게요.<br>건강 검진도 받아 두지 않으면<br>또 혼날 거예요."""
st_058180_0160#0,"""시에라도 마찬가지야.<br>함교는 내가 맡을게."""
st_058180_0170#0,"""네!?<br>저도요?"""
st_058180_0180#0,"""정체를 알 수 없는 세계의 문제를 해결하느라<br>시에라도 줄곧 함께했잖아.<br>잠시 쉬고 와."""
st_058180_0190#0,"""설마 샤오에게<br>그런 말을 들을 날이 오다니<br>……오래 살고 볼 일이네요!"""
st_058180_0200#0,"""여러모로 힘들었지만<br>끝이 좋으면 다 좋다는 말이 맞네요!"""
st_058180_0210#0,"""……그렇습니다.<br>그 세계에서 애써 주신 데 다시 감사드립니다."""
st_058180_0220#0,"""바루나……씨!?"""
st_058180_0225#0,"""오메가에만 있을 바루나 씨가<br>어떻게 이곳에……!?"""
st_058180_0230#0,"""저도 여러분과 같은 존재입니다.<br>이유는 그것뿐입니다."""
st_058180_0240#0,"""<%me> 님.<br>이쪽으로 오십시오."""
st_058180_0250#0,"""제 주인을 맞이하러 가시죠."""
st_058180_0260#0,"""……바루나 씨.<br>목적이 뭔가요?"""
st_058180_0270#0,"""제게 따로 목적은 없습니다.<br>오직 주인의 뜻을 이루기 위해 힘쓸 뿐입니다."""
name01#0,"""？？？"""
name02#0,"""？？？"""
