st_058060_0010#0,"""津波のように押し寄せる魔物の群を<br>クエント国軍は決死の魔法障壁で防ぐ。"""
st_058060_0020#0,"""しかし、敵の勢いは衰えを知らず<br>その数もまた、無尽蔵に増え続ける。"""
st_058060_0030#0,"""根源を絶たねば、勝利はない。<br>守護輝士は、剣の巫女アリサと共に<br>戦の先陣へと立つ。"""
st_058060_0040#0,"""……反応、数にして約十万。<br>しかもまだ増え続けています。"""
st_058060_0050#0,"""魔法障壁でなんとかしのいでいますが<br>やがてはそれも超えられてしまうでしょう。<br>そうすれば……終わりです。"""
st_058060_0060#0,"""この先は、正真正銘、魔物のるつぼ。<br>しかしここを超えねば<br>かの繭へはたどり着けません。"""
st_058060_0070#0,"""準備はできていますか、守護輝士。"""
st_058060_0080#0,"""問題ない"""
st_058060_0090#0,"""そっちこそ"""
st_058060_0100#0,"""……では、先陣は私が。<br>剣の巫女の力、今こそここに。"""
st_058060_0110#0,"""はあああああああっ！"""
st_058060_0120#0,"""今です！"""
st_058060_0130#0,"""邪魔をするな！"""
st_058060_0140#0,"""突破する！"""
st_058060_0150#0,"""もちろんです！<br>剣よ、今が決戦の時！"""
name01#0,"""？？？"""
name02#0,"""？？？"""
