st_058070_0010#0,"""이대로라면……!"""
st_058070_0020#0,"""뭐……!?"""
st_058070_0030#0,"""반응이 늘고 있어요!<br>이럴 수가……끝도 없잖아요!"""
st_058070_0040#0,"""하하하하하하!<br>봤어? 지금 그 표정 봤어?<br>정말 볼만했어, 최고였다고!"""
st_058070_0050#0,"""아무것도 모르네.<br>아무리 쓰러뜨려도 포톤은<br>밖으로 흘러넘치잖아?"""
st_058070_0060#0,"""그걸 내가 전부 받고 있어.<br>재생도 생성도 마음껏 할 수 있지.<br>그렇지, 하리엣?"""
st_058070_0070#0,"""……응? 뭐지.<br>포톤을 흡수하는 속도가 느려졌나?"""
st_058070_0080#0,"""……뭐!?"""
st_058070_0090#0,"""역시나라고 해야 하나<br>혼자 하려니 너무 힘드네……"""
st_058070_0100#0,"""게다가 저쪽은 결계에 쓰는 포톤까지<br>먹으려 하잖아……정말 난감하네.<br>이제는 버티기 싸움이야……!"""
st_058070_0110#0,"""포톤을 차단하는 결계라고……<br>그런 걸 쓰는 녀석이 있었다니……<br>……제법 하잖아."""
st_058070_0120#0,"""늘어나는 속도가 느려졌어요……!?"""
st_058070_0130#0,"""……기회입니다!"""
st_058070_0140#0,"""제가 여기서 적을 붙잡아 두겠습니다!<br>수호휘사는 곧장 고치로 가세요!"""
st_058070_0150#0,"""죽지 마!"""
st_058070_0160#0,"""감사합니다!"""
st_058070_0170#0,"""격려는 다시 만났을 때 듣겠습니다!<br>지금은 서로 전승 속 존재로서<br>해야 할 일을 다하죠!"""
st_058070_0180#0,"""제 힘은 전승에 새겨진 신화 시대의 힘.<br>그렇기에 혼자서는<br>결코 휘두를 수 없습니다."""
st_058070_0190#0,"""……하지만 지금 이곳에서<br>그 맹세를 깨겠습니다."""
st_058070_0200#0,"""저는 검의 무녀가 아니라<br>아리사=랜데일로서<br>……친구를 구하기 위해 이곳에 있습니다."""
st_058070_0210#0,"""덤벼라, 악의 현신이여.<br>검은 이곳에 새로운 전승을 새길 것입니다!"""
st_058070_0220#0,"""……아리사 님."""
name01#0,"""？？？"""
name02#0,"""？？？"""
