st_057150_0010#0,"""くっ、こいつら！<br>一体どこから湧いてでてきたッ！"""
st_057150_0020#0,"""ハリエット様、ここはもう持ちません！<br>至急、後方への避難を！"""
st_057150_0030#0,"""くっ……！<br>しかし、それでは……！"""
st_057150_0040#0,"""ここで死ねば、それこそ<br>取り返しのつかないことになります！<br>ハリエット様、どうか……！"""
st_057150_0050#0,"""…………わかりました。"""
st_057150_0060#0,"""ヴァルナ、全軍に後退命令を。<br>戦線を維持したまま<br>クエント国内まで退きます。"""
st_057150_0070#0,"""はっ！<br>すぐに伝令を……！"""
st_057150_0080#0,"""な、何事だあっ！？"""
st_057150_0090#0,"""クエント国内側からの強襲です！"""
st_057150_0100#0,"""て、敵がなだれこんでくるぞ！<br>ハリエット様をお守りしろ！"""
st_057150_0110#0,"""ハリエット様、ここは危険です！<br>強引ですが、突破します！<br>どうか離れないように！"""
st_057150_0120#0,"""魔神城も、召喚術士もなしに魔物が<br>どうして出現するんだ……！"""
st_057150_0130#0,"""ハリエット様、湖上は敵が居ません！<br>船でお逃げください！<br>ここは私が食い止めます！"""
st_057150_0140#0,"""ヴァルナ！"""
st_057150_0150#0,"""心配は無用です、ハリエット様！<br>必ずお迎えにあがります！<br>行け！ハリエット様を頼むぞ！"""
st_057150_0160#0,"""はっ！"""
st_057150_0170#0,"""ヴァルナ！\u3000ヴァルナっ！"""
st_057150_0180#0,"""ここになら敵はいないはず……"""
st_057150_0190#0,"""……っ！\u3000ここにも……！"""
st_057150_0200#0,"""守護輝士が、必ずなんとかしてくれる。<br>だからそれまで……<br>私は折れるわけにはいきません！"""
st_057150_0210#0,"""はあっ！"""
st_057150_0220#0,"""うあっ！"""
st_057150_0230#0,"""う……ううっ……！"""
st_057150_0240#0,"""（兄様……！<br>守護輝士……ッ！）"""
st_057150_0250#0,"""え……？"""
st_057150_0260#0,"""あ……あああっ……！<br>来てくれたのですね、守護輝士……っ！"""
st_057150_0270#0,"""信じていました……信じて……！<br>本当に、よかった……<br>これで、世界はひとつに……！"""
st_057150_0280#0,"""……あの、守護輝士。<br>シエラさんは、どちらに？"""
st_057150_0290#0,"""ふ、くっくっく、あっはっはっは！"""
st_057150_0300#0,"""君、思ったよりも目ざといねえ。<br>わざわざ趣を似せてあげたのに<br>台無しにしてくれちゃって、サ。"""
st_057150_0310#0,"""貴方は……エルミル！？"""
st_057150_0320#0,"""いやに驚くねえ？<br>僕が生きてることなんて<br>とっくにご存知だっただろう？"""
st_057150_0330#0,"""不死身だとでも……言うのですか？"""
st_057150_0340#0,"""はは、こんな世界での生き死になんて<br>なんの意味もないじゃあないか。"""
st_057150_0350#0,"""それはどういう……"""
st_057150_0360#0,"""痛っ……！"""
st_057150_0370#0,"""守護輝士クンは頑張ってくれたよ。<br>そのうちこの周辺一帯の<br>戦乱も落ち着くはず、サ。"""
st_057150_0380#0,"""そして、守護輝士クンは<br>本当に、ほんとうに良くやってくれた。"""
st_057150_0390#0,"""【巨躯】【敗者】【若人】【双子】。<br>おかげで全ての因子は、地に還った。"""
st_057150_0400#0,"""あとは、僕と君だ。"""
st_057150_0410#0,"""わかっているんだろう、ハリエット。<br>いやさ、エフィメラの器よ。"""
st_057150_0420#0,"""エフィメラの……器……？"""
st_057150_0430#0,"""エフィメラの魂と、エフィメラの器。<br>それがひとつになることにより<br>世界もまた、ひとつになる。"""
st_057150_0440#0,"""つまり、君が望んだ世界ができ上がる！<br>何も不満はないだろう、ハリエット？"""
st_057150_0450#0,"""いや……いやです……！<br>そんなことをすれば<br>この世界は……！"""
st_057150_0460#0,"""さあ、奇跡を起こそうじゃない、か！<br>世界を壊す奇跡を、サ！"""
name01#0,""" <%me>？"""
name02#0,"""クエント軍兵士"""
name03#0,"""？？？"""
