st_058010_0010#0,"""저건……뭐죠!"""
st_058010_0020#0,"""그야 뻔하지.<br>고치야, 고치. 태어나는 원초의 심원.<br>그걸 감싸는 고치지."""
st_058010_0030#0,"""그 모습은……에르밀!"""
st_058010_0040#0,"""안녕, 에픽 이후로 처음이네.<br>인사도 하고 감사 인사도 전하려고<br>찾아왔어, 「선배」."""
st_058010_0050#0,"""인사……?"""
st_058010_0060#0,"""무슨 말을 하는 거지……?"""
st_058010_0070#0,"""하하하하!<br>너무 쌀쌀맞잖아, 선배!"""
st_058010_0080#0,"""어쩔 수 없네.<br>아주 특별한 힌트를 줄게."""
st_058010_0090#0,"""이게 뭘까?"""
st_058010_0100#0,"""하하하, 무서워라.<br>이건 원래 선배 것이잖아?<br>아니, 미래의 선배 것이라고 해야 하나?"""
st_058010_0110#0,"""정체가……!"""
st_058010_0120#0,"""다크 펄스……!"""
st_058010_0130#0,"""정답이야.<br>나는 다크 펄스【가면】.<br>그 이름을 이어받은 자지."""
st_058010_0140#0,"""전지 존재와 하나가 된<br>【심원의 어둠】."""
st_058010_0150#0,"""거기서 흘러나온 어둠이<br>태어나기도 전의 나……에르밀에게<br>깃들어 버린 거야."""
st_058010_0160#0,"""알겠어?<br>나는 에피메라와 함께<br>이 세계에 태어난 거야."""
st_058010_0170#0,"""정말 곤란했어.<br>다크 펄스의 인자가 흩어져 버렸거든."""
st_058010_0180#0,"""이대로는 【심원의 어둠】이 될 수도 없고<br>다크 펄스로서도 어중간한 나.<br>싫다고 생각하던 차에 선배가 나타났지."""
st_058010_0190#0,"""정말 큰 도움이 됐어.<br>선배가 다크 펄스들을 쓰러뜨려서<br>인자를 내게 돌려줬잖아."""
st_058010_0200#0,"""인자를 돌려줬다고……?"""
st_058010_0210#0,"""어라, 설마 몰랐던 거야?"""
st_058010_0220#0,"""선배가 아무리 뛰어나도<br>다크 펄스의 힘을 그대로 써먹는 건<br>불가능해."""
st_058010_0230#0,"""인자는 내가 받고 있었어.<br>선배는 찌꺼기만 받은 거야.<br>그러니 몸에도 문제가 없지!"""
st_058010_0240#0,"""인자를 받았다니……<br>대체 어떻게……!"""
st_058010_0250#0,"""전지 존재도 손자쯤 되면<br>참 많이도 뒤떨어지는군."""
st_058010_0260#0,"""【심원의 어둠】은 전지 존재가<br>구현한 세계에 붙어 있었잖아?<br>그러니 인자가 돌아갈 곳은 뻔하지."""
st_058010_0270#0,"""정답.<br>이 세계 자체가 【심원의 어둠】이야.<br>내가 태어난 곳이지."""
st_058010_0280#0,"""그래도 여기까지 오는 데 일이 많았어.<br>나도 처음부터 이렇지는 않았거든.<br>대놓고 움직일 생각도 없었어."""
st_058010_0290#0,"""조용히 때를 기다리며 잠든 채<br>아무도 모르게 끝낼 생각이었지."""
st_058010_0300#0,"""그런데 말이야.<br>루서라는 녀석은 어느 시대에서든<br>쓸데없는 짓만 하더라고."""
st_058010_0310#0,"""소환인지 뭔지는 몰라도<br>내게 접속하더니 기어이 불러냈지."""
st_058010_0315#0,"""계획을 통째로 망쳐 놓았어."""
st_058010_0320#0,"""게다가 내 그릇까지 빼앗아 갔으니<br>그때부터는 가만히 있을 수 없었지."""
st_058010_0330#0,"""사람들끼리 실컷 싸우게 만들어서<br>그릇과 인자를 되찾으려고 했어."""
st_058010_0340#0,"""아, 맞다. 그릇.<br>그것도 선배에게 감사해야 해.<br>그릇을 지켜 줘서 고마워, 선배."""
st_058010_0350#0,"""덕분에 힘을 충분히 모은 데다<br>완전한 모습으로 부활할 수 있어."""
st_058010_0360#0,"""……그릇?"""
st_058010_0370#0,"""무슨 뜻이지"""
st_058010_0380#0,"""어디 보자, 그 그릇 이름이<br>뭐였더라."""
st_058010_0390#0,"""……아, 맞다!<br>하리엣이라고 했던가?"""
st_058010_0400#0,"""하리엣 씨에게<br>무슨 짓을 한 겁니까!"""
st_058010_0410#0,"""……설마"""
st_058010_0420#0,"""저 고치 안에"""
st_058010_0430#0,"""정답! 역시 선배야!<br>그럼 저게 무엇인지도<br>……알겠지?"""
st_058010_0440#0,"""나는 이곳에만 존재할 수 있어.<br>이곳에서만 필요한 존재지."""
st_058010_0450#0,"""그렇다면 말이야.<br>전부 집어삼키면 되잖아."""
st_058010_0460#0,"""그게 다크 펄스라는 존재잖아?<br>그렇지, 선배?"""
st_058010_0470#0,"""그럼 여기서 막겠어!"""
st_058010_0480#0,"""마음대로 하게 둘 순 없어!"""
st_058010_0490#0,"""어이쿠!<br>성급하면 손해라고, 선배.<br>뭐, 이미 늦었지만."""
st_058010_0500#0,"""그럼 잘 있어, 선배.<br>세계를 부수는 선배의 영웅담은<br>정말 매력적이었어."""
st_058010_0505#0,"""후후후, 하하, 하하하하하!"""
st_058010_0510#0,"""……둘 다, 지금 비상사태야.<br>미안하지만 억지로 끌어낼게."""
name01#0,"""？？？"""
name02#0,"""？？？"""
