name_7009#0,"""Oranje"""
ssn_014050_0001#0,"""แหม เติบโตขึ้นในฐานะสมาชิกของ ARKS ได้อย่างยอดเยี่ยมเลยนะ"""
ssn_014050_0002#0,"""ฉันมีงานที่เหมาะกับความสามารถที่โดดเด่นของเธอ สนใจอยากฟังไหมล่ะ?"""
ssn_014050_0101#0,"""ฮิฮิ... ดีใจจัง ขอบใจนะที่ทุ่มเทให้ขนาดนี้"""
ssn_014050_0102#0,"""คือว่านะ เมื่อไม่นานมานี้เราตรวจพบสัญญาณวิทยุแปลกๆ ใน Resol Forest น่ะ"""
ssn_014050_0103#0,"""สัญญาณวิทยุนี้ดูเหมือนจะส่งผลกระทบอะไรบางอย่างต่อ DOLLS ในบริเวณนั้น"""
ssn_014050_0104#0,"""เรายังมืดแปดด้านเรื่องนี้อยู่เลย... ช่วยเราตรวจสอบหน่อยได้ไหม?"""
ssn_014050_0105#0,"""เราอยากให้ช่วยบันทึกข้อมูลการต่อสู้ตอนที่สู้กับ DOLLS ที่ได้รับผลกระทบนั่นน่ะ"""
ssn_014050_0106#0,"""เราจะได้รู้ว่าเกิดอะไรขึ้นกันแน่ ขอบใจอีกครั้งนะ ขอให้โชคดี"""
ssn_014050_0201#0,"""โธ่ แย่จัง... ไว้ถ้าพอมีเวลาเมื่อไหร่ก็บอกด้วยนะ?"""
ssn_014050_0301#0,"""ช่วงนี้ช่วยทำอะไรหลายๆ อย่างให้เราเยอะเลย ยอดเยี่ยมมาก แต่ก็อย่าลืมพักผ่อนด้วยล่ะ เข้าใจไหม?"""
ssn_014050_0302#0,"""เราไม่มีทางรู้เลยว่าจะต้องใช้สติปัญญาให้เฉียบคมที่สุดเมื่อไหร่"""
ssn_014050_0401#0,"""ภารกิจต่อไปนี่คงจะเหนื่อยหน่อยนะ เตรียมตัวให้พร้อมเป็นสองเท่าเลยล่ะ"""
ssn_014050_0402#0,"""ช่วยตามหา Bruder แล้วก็พากลับมาอย่างปลอดภัยด้วยนะ"""
ssn_014050_0105_01#0,"""เราอยากให้ช่วยบันทึกข้อมูลการต่อสู้ตอนที่สู้กับ DOLLS ที่ได้รับผลกระทบจากคลื่นวิทยุ เราจะได้รู้ว่าเกิดอะไรขึ้นกันแน่"""
