st_065090_0010#0,"""……원통하군.<br>아아, 원통해."""
st_065090_0020#0,"""끝내 승리하지 못했어.<br>역사는 역시 되풀이되는 모양이야."""
st_065090_0030#0,"""역사가 되풀이된다고？"""
st_065090_0040#0,"""그게 무슨 뜻이야？"""
st_065090_0050#0,"""말 그대로야.<br>우리는 결국 세계의 그릇일 뿐이지."""
st_065090_0060#0,"""돌고 돌아 끝없이 되풀이하지.<br>우리가 기록해 온 모든 것을……<br>다시 처음부터 반복할 뿐이야."""
st_065090_0070#0,"""마지막으로 묻지, <%me>."""
st_065090_0080#0,"""세계를 멸망시킬지 스스로 사라질지.<br>둘 중 하나라면 무엇을 고르겠어？"""
st_065090_0090#0,"""포톤이 존재하는 한……<br>아니, 우리 둘이 존재하는 한<br>계속 선택해야만 해."""
st_065090_0100#0,"""<%me>!?"""
st_065090_0110#0,"""<%me> 씨 안에서<br>고순도 다커 인자 반응이 감지됩니다！？<br>대체 어디서 생긴 거죠！？"""
st_065090_0120#0,"""설마 최초의 【심원의 어둠】……？<br>숙주로 삼으려는 건 <%me> 씨……！"""
st_065090_0130#0,"""원초의 【심원의 어둠】은<br>포톤과 짝을 이루는 존재.<br>태어나는 게 아니라 그저 존재하는 것."""
st_065090_0140#0,"""가장 강한 힘을 지녔던 시바가 사라졌다.<br>그렇다면 그다음으로 강한 너에게<br>깃드는 것이 이치일 테지."""
st_065090_0150#0,"""……어떻게 할 테냐."""
st_065090_0160#0,"""이것이 모든 것을 파멸시키려는 의지라면……"""
st_065090_0170#0,"""파멸시킬 것이 아무것도 없는 곳으로……"""
st_065090_0180#0,"""……그래.<br>네가 그렇게 말할 줄 알았다."""
st_065090_0190#0,"""<%me> 씨를<br>중심으로 강력한 차원 왜곡 반응！<br>어딘가로 전이하려는 건가요！？"""
st_065090_0200#0,"""아니, 이건…… 시간 역행！？<br>설마, <%me>！<br>대체 어디까지 돌아갈 생각이야！？"""
st_065090_0210#0,"""안 돼！<br>그러면 안 돼, <%me>！"""
st_065090_0220#0,"""<%me>……!<br><%me>!!"""
