st_065110_0450#0,"""눈을 떠 주세요, 수호휘사！"""
st_065110_0460#0,"""아직 끝나지 않았습니다！<br>이대로 끝나게 두지 않겠습니다！"""
st_065110_0470#0,"""지금까지 이어 온 인연 속에<br>답이 있으니까요！"""
st_065110_0480#0,"""수호휘사에게 받은 이 힘……<br>모든 것을 구하기 위한 힘……"""
st_065110_0490#0,"""그러니까 이번에는……"""
st_065110_0500#0,"""내가…… 반드시 구해 낼게！"""
st_065110_0510#0,"""부정한 것을 베어 갈라라, 아메노무라쿠모！"""
st_065110_0511#0,"""읏！"""
st_065110_0512#0,"""훗！"""
st_065110_0513#0,"""핫！"""
st_065110_0514#0,"""탓！"""
st_065110_0515#0,"""얏！"""
st_065110_0516#0,"""큭！"""
st_065110_0517#0,"""핫！"""
st_065110_0518#0,"""하아앗！"""
st_065110_0520#0,"""<%me>！"""
st_065110_0530#0,"""아직이야！ 아직 끝나지 않았어！"""
st_065110_0540#0,"""아직 함께 아무것도 해 보지 못했어！<br>평범한 여자아이처럼 지내 본 적도 없어！"""
st_065110_0550#0,"""이대로 아무것도 하지 않으면……<br>그대로 미래로 나아가면 해 볼 수 있을지도 몰라.<br>하지만, 그렇지만…… 그건 내가 바라는 게 아니야！"""
st_065110_0552#0,"""큭！"""
st_065110_0553#0,"""읏！"""
st_065110_0554#0,"""꺅！"""
st_065110_0555#0,"""으읏！"""
st_065110_0560#0,"""……난 너와 함께하는 게 좋아！"""
st_065110_0570#0,"""함께 있고 싶어！"""
st_065110_0580#0,"""함께 미래를 보고 싶어！"""
st_065110_0590#0,"""그러니까……！"""
st_065110_0600#0,"""그러니까……！"""
st_065110_0610#0,"""그러니까…… 돌아와 줘！"""
st_065110_0620#0,"""수호휘사……！"""
st_065110_0630#0,"""……<%me>！"""
st_065110_0640#0,"""<%me>!"""
st_065110_0650#0,"""……고마워"""
st_065110_0660#0,"""서로 다독이는 건<br>저걸 처리한 다음에 하죠."""
st_065110_0670#0,"""……<%me> 몸에서 떼어 낸<br>압도적인 어둠.<br>숙주가 없는데도 아직 남아 있어……"""
st_065110_0680#0,"""포토너 시대에 만들어진<br>【심원의 어둠】. 그 근원인 어둠.<br>오로지 모든 것을 파멸시키려는 의지."""
st_065110_0690#0,"""갈 곳도, 달라붙을 대상도 없이<br>지금 이곳에 힘 그 자체로 구현되고 있어……"""
st_065110_0700#0,"""……내버려 둘 수는 없어.<br>이제 어느 시대, 어느 세계에서도 누구 하나<br>희생시키지 않겠어！"""
st_065110_0710#0,"""이건……<br>……모두의 마음이 느껴져."""
st_065110_0720#0,"""살아 있는 모든 존재……<br>아뇨, 지금까지 살아온 모든 존재……<br>그 모든 소원이 이곳에 모이고 있어요."""
st_065110_0730#0,"""그 소원은 어둠을 몰아내는 빛……<br>……거대한 빛이 되어 가고 있어."""
st_065110_0740#0,"""모든 존재의 힘이 지금 이곳에 모인다.<br>지금까지의 기록은 이 순간을 위한 것이었다."""
st_065110_0750#0,"""그리고 이곳에서 시작하자.<br>새로운 우주의 기억을."""
st_065110_0760#0,"""지금까지 이어 온 인연……<br>모든 것이 이제 이곳에 모였어."""
st_065110_0770#0,"""지금을 넘어 그 너머로！"""
