un_065190_0010#0,"""At a time like this, should we really be talking about going on a trip?"""
un_065190_0020#0,"""Y-Yeah... There's about to be a huge life-or-death battle. Having a night out seems a little bit imprudent, yeah?"""
un_065190_0030#0,"""It's fine! We're gonna need all of our strength for this battle, so what you two need right now is some rest and relaxation."""
un_065190_0040#0,"""If all you do is train, you won't have any energy left and you'll crumble when it really counts. Rest is a part of the job too, isn't it?"""
un_065190_0050#0,"""...That's true. Gotta get your rest in so you can be fully charged for the fight. You've changed my mind."""
un_065190_0060#0,"""Alright, then let's put all our thought into picking a good destination!"""
un_065190_0070#0,"""Ah, <%me>! You coming with?"""
un_065190_0080#0,"""What's going on?"""
un_065190_0090#0,"""Sure, let's go."""
un_065190_0100#0,"""Azanami invited us to join her on a vacation so we can rest up!"""
un_065190_0110#0,"""I thought it was a bad time, but it turns out it's the perfect time. Rest is important, I can't disagree with that."""
un_065190_0120#0,"""Haha! You don't even want to know what we're talking about but you're still on board? That's the spirit, <%me>!"""
un_065190_0130#0,"""I'd sure be glad to have you come along with us, <%me>!"""
un_065190_0140#0,"""Now, it wouldn't be a vacation if we didn't go to the beach! We've gotta buy new swimsuits, too!"""
un_065190_0150#0,"""Oh, I've already got a swimsuit. Wait, didn't you already have one too, Azanami?"""
un_065190_0160#0,"""Oh please! We're finally going on a vacation! Treat yourself with a new swimsuit, it'll help you unwind!"""
un_065190_0170#0,"""You two always wear simple sports swimsuits. Why not try out, say, a cute bikini for a change?"""
un_065190_0180#0,"""What?! Whoa, hold on a sec there. That sort of thing isn't my style, or whatever..."""
un_065190_0190#0,"""Me too, I'd be a little embarrassed wearing one of those..."""
un_065190_0200#0,"""Oh come on, don't talk like that. Trying out new things is the secret to enjoying life, you know?"""
un_065190_0210#0,"""Here! <%me>, what kind of swimsuit do you think would suit these two?"""
un_065190_0220#0,"""The cute kind."""
un_065190_0230#0,"""The sexy kind."""
un_065190_0240#0,"""There you go teasing me again! There's no way a cutesy swimsuit would look good on someone like me..."""
un_065190_0250#0,"""M-Me either. I wouldn't be able to do those cute little designs justice, it'd just make me feel embarrassed."""
un_065190_0260#0,"""What?! No way! The sexy kind is impossible for me! I'd be too embarrassed..."""
un_065190_0270#0,"""Those swimsuits are only sexy if sexy people are wearing them. Don't make me say any more than that."""
un_065190_0280#0,"""B-But I mean, if you say you absolutely must see me in one, then... Well, I guess..."""
un_065190_0290#0,"""I-Indeed, if you really want me to... N-No, but... Ohhh..."""
un_065190_0300#0,"""Whoa-ho, you two are adorable. That's the Guardian for you, making pushovers out of everyone!"""
un_065190_0310#0,"""This next battle isn't going to be pretty. Everyone's stressed to the brink. Some are entirely against resting."""
un_065190_0320#0,"""But I disagree. There's a time and a place for effort, but there's a time for rest too. I've got to make some noise about letting people rest when they can."""
un_065190_0330#0,"""At the very least, those two seem like they'd be the happier than anyone to go on a trip with you,<br><%me>!"""
un_065190_0340#0,"""So take it easy and come along with us. We're looking forward to it. That's a promise between you and me, okay?"""
