st_065110_0330#0,"""<%me>！"""
st_065110_0331#0,"""바보……！"""
st_065110_0332#0,"""바보…………！"""
st_065110_0340#0,"""그런 건 안 된다고 했잖아！<br>둘이 약속했잖아！"""
st_065110_0350#0,"""한쪽만 남겨 두고 가는 건……<br>절대 안 된다고 했잖아！"""
st_065110_0360#0,"""……용서 못 해.<br>절대로 용서 못 해."""
st_065110_0370#0,"""그러지 않으면<br>역사가 이어지지 않는다고 해도……"""
st_065110_0380#0,"""그러지 않으면<br>역사를 부정하는 일이 된다고 해도……"""
st_065110_0390#0,"""……그래도 보내지 않을 거야！"""
st_065110_0400#0,"""이걸로 끝이라고 말하게 두지 않을 거야……！<br>그렇게 멋대로…… 절대로, 절대로<br>용서하지 않을 거니까！"""
st_065110_0410#0,"""……그래, 그 말이 맞다."""
st_065110_0420#0,"""시온…… 씨……？"""
st_065110_0430#0,"""그로 인해 역사가 부정되고……<br>아카식 레코드가……<br>나라는 존재가 부정된다고 해도."""
st_065110_0440#0,"""<%me> 없는 세상은<br>존재해서는 안 된다!"""
