st_065080_0530#0,"""칫！"""
st_065080_0540#0,"""……누님, 뭔가 온다！"""
st_065080_0550#0,"""〔이야압！〕"""
st_065080_0560#0,"""뭐, 뭐야！？"""
st_065080_0570#0,"""휴이！ 무사하냐！"""
st_065080_0580#0,"""클라리스 클레이스！？<br>게다가 사라까지！"""
st_065080_0590#0,"""마리아！<br>나이도 생각 않고 무리하지 마！"""
st_065080_0600#0,"""어떻게 여기까지 온 거야……？"""
st_065080_0610#0,"""모두가 위험하단 말을 듣고 가만히<br>있을 수 없어서 달려왔어！"""
st_065080_0620#0,"""총공격에 부르지도 않고<br>정말 서운하게 구네."""
st_065080_0630#0,"""뭐, 그것도 샤오 일행의<br>계획이었던 모양이지만."""
st_065080_0640#0,"""〔재를 이용한 전이！〕<br>〔훌륭하다！〕"""
st_065080_0650#0,"""후, 후후훗, 하하하하하핫！<br>이거 이거, 이게 웬 즐거운 상황이냐！"""
st_065080_0660#0,"""……정말 건방진 녀석들이군！<br>멋대로 끼어들지 마！"""
st_065080_0670#0,"""하지만 정신은 번쩍 들었어！<br>그렇지, 휴이！"""
st_065080_0680#0,"""당연하지！"""
st_065080_0690#0,"""무너뜨려라 염부, 라브리스！"""
st_065080_0700#0,"""깨어나라 파권, 왈프런！"""
