st_065120_0091#0,"""마토이!"""
st_065120_0092#0,"""마토이씨!"""
st_065120_0093#0,"""으 으응… 여기는…？"""
st_065120_0094#0,"""…혹시 암두스키아?"""
st_065120_0095#0,"""네. 샤오가 여기까지 이끌어 준 것 같아요."""
st_065120_0096#0,"""하아 다행이야. 둘 다 무사한 것 같네"""
st_065120_0098#0,"""<%me>！"""
st_065120_0099#0,"""다녀왔어"""
st_065120_0100#0,"""고마워"""
st_065120_0101#0,"""그럼, 돌아갈까?"""
st_065120_0102#0,"""네, 다들 기다리고 있어요."""
st_065120_0103#0,"""응!"""
st_065120_0104#0,"""저기……<br><%me>."""
st_065120_0105#0,"""아까 그건… 꿈이였어?"""
st_065120_0110#0,"""……꿈이 아냐"""
st_065120_0120#0,"""……잊지 않을거야"""
st_065120_0130#0,"""……응."""
st_065120_0140#0,"""가자."""
st_065120_0150#0,"""우리의 미래로."""
