st_065080_0710#0,"""뭐…… 어떻게 된 거야……？"""
st_065080_0720#0,"""……후, 정말이지."""
st_065080_0730#0,"""도우러 올 거라면<br>조금 더 일찍 와 주셨으면 했습니다."""
st_065080_0735#0,"""……쿠나 씨."""
st_065080_0740#0,"""……딱히 도우러 온 건 아닙니다.<br>이건 작전 행동의 일부일 뿐입니다."""
st_065080_0750#0,"""정말 사람을 막 부려 먹는다니까."""
st_065080_0760#0,"""그러면서 비장의 카드라는 말에<br>싫지만은 않았던 주제에."""
st_065080_0770#0,"""시끄러워."""
st_065080_0780#0,"""둘 다 여기까지 와서<br>싸우지는 말아 줘……"""
st_065080_0790#0,"""제노, 지금 치료해 줄게！"""
st_065080_0800#0,"""아핀과 유크리타…… 에코까지……<br>대기조 아니었어？"""
st_065080_0810#0,"""……그렇군요.<br>적이 눈치채지 못하게 하려는 작전.<br>그런 뜻이었군요, 샤오."""
st_065080_0820#0,"""정말, 그 못된 녀석！<br>이렇게 되면 멋진 모습을<br>보여 주고 싶어지잖아！"""
st_065080_0830#0,"""……제답지는 않지만 동의합니다.<br>육망의 힘을 여기서 보여 주죠.<br>쿠나 씨, 준비되셨습니까？"""
st_065080_0840#0,"""얕보지 마세요.<br>저도 육망의 일원입니다."""
st_065080_0850#0,"""……나타나라 투인, 마이."""
st_065080_0860#0,"""울려라 계검, 나나키！"""
st_065080_0870#0,"""노래하라 인구, 플로렌베르크！"""
st_065080_0880#0,"""……그래서 이제 어떻게 할까？<br>우리도 안쪽으로 쳐들어갈까？"""
st_065080_0890#0,"""아니, 여기서 믿고 계속 싸울 거야.<br>그러면 안쪽도 한결 수월해질 테고<br>……분명 어떻게든 해낼 거야."""
st_065080_0900#0,"""……대단한 믿음이네."""
st_065080_0910#0,"""당연하지.<br>누가 뭐래도 내<br>자랑스러운 파트너니까."""
st_065080_0920#0,"""여기는 우리에게 맡기고<br>힘내라…… 파트너！"""
