Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 1 Senpai! Matoi!<br>I'll fight with you!"""
Success#1,"""/ci1 2 I hope this area is clear now. You go ahead, senpai. Be sure that you come back in one piece."""
Failure#1,"""Sorry, senpai...<br>I wanted to keep them off your back so you wouldn't have to waste too much energy, but..."""
Dead#1,"""Sorry, senpai...<br>I don't have it in me to see this through to the end..."""
BuddyDead#1,"""Azanami! OK, leave it to me!"""
